bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700103610	-0.103295363449732	-0.0309881680471656	-0.0491312258137386	-0.0476133573471153	-0.118900913235394	-0.136816905228996	-0.0512756972571347	-0.0457943182282233	-0.0344251918705469	-0.0574659610662851	0	-0.0689472951192018	-0.0514844011459051	-0.121715711446122	-0.0747115955440322	-0.0680866589682613	-0.0388135350525319	-0.067255642413943	-0.0299369929073769	-0.0509915228581838	-0.0390507479675017	-0.0528869646916839	-0.0967152457816571	-0.0943840666026029	-0.0506985804519214	-0.0447519301027482	-0.064526621804626	-0.0535722931998525	-0.0857191947520327	-0.049599624247172	-0.0709256249179333	-0.0403086355833197	-0.100738838541794	-0.0549091475588064	-0.0597307456598795	-0.171460202554215	-0.0780950987767386	-0.0896846239873961	-0.06225259650775	-0.0910027295634419	-0.0694262395211024	-0.0411175753153153	-0.104769599946583	-0.0877380212004219	-0.0547250680029241	-0.13116481617274	-0.140382499122045	-0.0864006157674187	-0.133029039456342	-0.0558612314267483	-0.103140225940298	-0.0673309797273218	-0.105401180710536	-0.138432609522722	-0.0677259836031995	-0.104017105065385	-0.080552923020561	-0.110992372313082	-0.150597447905738	-0.129809565704889
bm_700106935	-0.0662045723925609	-0.0736177959847127	-0.0719977083217837	-0.0843306119091892	-0.0966895183771767	-0.0874218225049306	-0.059882626394153	-0.0703686135786348	-0.0654124148491528	-0.0849510215434433	-0.0689472951192018	0	-0.0962920145268538	-0.0908122748811122	-0.0785481282215447	-0.0834719616462449	-0.0887310483481475	-0.0646951414896501	-0.0677528119486267	-0.0630070538638613	-0.0811535869407731	-0.0942861936959562	-0.0470523798944134	-0.0628803378230438	-0.0745866362881754	-0.0884137497424242	-0.0395402831867205	-0.0865883866034396	-0.0628459526854415	-0.0836168998211549	-0.0715921315634961	-0.0899173828079416	-0.127424578361253	-0.101047490312955	-0.111431744365767	-0.17596956799471	-0.12369626652595	-0.0958896734604205	-0.0986959491263814	-0.109140646811799	-0.114359559613994	-0.0933306253245138	-0.119132021427903	-0.126019579793403	-0.101163918768822	-0.130073930192155	-0.144705797018049	-0.0846767249716173	-0.143780603391512	-0.109475385937336	-0.0829310219509169	-0.114942493640221	-0.133126549870229	-0.147715675821464	-0.111707652326559	-0.106421154769559	-0.11744736671858	-0.126917034073061	-0.168575406246902	-0.137376192886443
bm_700113555	-0.127815934920364	-0.03998798973214	-0.0619733076588624	-0.0260631121741966	-0.136440691618806	-0.156851647869021	-0.0652902948085222	-0.0349525769856313	-0.0453412961617302	-0.0687462930832953	-0.0514844011459051	-0.0962920145268538	0	-0.14683347396836	-0.095791895222106	-0.0807623543129175	-0.0484950547871336	-0.0878420572565766	-0.0439819940379274	-0.0726456722355609	-0.0651088169354322	-0.0534429929954105	-0.116945889733193	-0.119974913483008	-0.0508299422042679	-0.0265063477837154	-0.0885646736624343	-0.0227518004867185	-0.108162748110671	-0.0326064627927453	-0.0939369108516051	-0.0374003563952963	-0.105841133900512	-0.0493067452621931	-0.0487888356632405	-0.190369447797966	-0.0539931048423803	-0.106672713897605	-0.064754598115385	-0.0998233665158701	-0.0729320404152074	-0.0397798528887979	-0.118081900228721	-0.0926723815722762	-0.0351949046248299	-0.149873222059376	-0.158020526841245	-0.102503814067181	-0.140995774382929	-0.0380753891021997	-0.129547160212259	-0.0641878987050267	-0.114119881778317	-0.145893569133311	-0.0430847696970258	-0.113822371171135	-0.0887120112779641	-0.112463877753109	-0.159830151071044	-0.139503934758613
bm_700014977	-0.0781256134011124	-0.129765582858946	-0.129171227489568	-0.138155180280917	-0.12536944396109	-0.0944790608357316	-0.119013306743752	-0.123577516391451	-0.122877272868653	-0.135752077787207	-0.121715711446122	-0.0908122748811122	-0.14683347396836	0	-0.109945300654576	-0.116618990555728	-0.144254309319338	-0.092176452009327	-0.125130061928823	-0.11453703876008	-0.124124939410083	-0.150200024893671	-0.0854774328758629	-0.0844362175692065	-0.126793689276569	-0.131836024223189	-0.0900052799480336	-0.14086529902864	-0.0925924191494033	-0.133231779973755	-0.120293280968837	-0.143991708989077	-0.184740667909664	-0.153607233169608	-0.160167877864815	-0.17665406097569	-0.175772722314617	-0.133905934462177	-0.155384438374377	-0.136458272645495	-0.164464303408588	-0.146329568371476	-0.149275845776548	-0.182142851235088	-0.14935761853552	-0.137486412333328	-0.140778069454623	-0.131869194518948	-0.183771450693143	-0.159076620117972	-0.108434760887305	-0.157227453140658	-0.163243322632951	-0.169849962322097	-0.162851189950553	-0.131575336889654	-0.171723195922054	-0.173629562950698	-0.168631103769612	-0.155406395632434
bm_700024502	-0.0935481378483244	-0.0844352424243712	-0.0926764522849438	-0.100325169532946	-0.114667338754252	-0.120323142647831	-0.072638605815611	-0.0969306254713784	-0.0883049285545103	-0.0756193311481421	-0.0747115955440322	-0.0785481282215447	-0.095791895222106	-0.109945300654576	0	-0.070363236847331	-0.0946896652886009	-0.0744463589823662	-0.0864862802694534	-0.0516785896517489	-0.0828695052088417	-0.0961514774492215	-0.0874634147460006	-0.0893771488526931	-0.0980582766889275	-0.0914383037453789	-0.0745599571853745	-0.103510331371893	-0.0892617020073492	-0.101238531143083	-0.0780404242518465	-0.0921605875778602	-0.131035658955206	-0.0943543956236278	-0.110149927209789	-0.179002029202575	-0.121498689179465	-0.0879616060341491	-0.101188065232581	-0.0934269345158232	-0.111837970983464	-0.0887668153017297	-0.108535761950222	-0.129011841170167	-0.100567437648041	-0.131929536018035	-0.138165074734435	-0.0840426188769964	-0.141706796788283	-0.104066301802974	-0.0994842308916256	-0.109166823600888	-0.122332829546727	-0.144130306017476	-0.109413948946401	-0.0987360399923872	-0.118288297917778	-0.119440778750752	-0.157447688288262	-0.131949400157205
bm_700024400	-0.091221793271254	-0.0743309990023594	-0.0826896461369986	-0.0853357512801043	-0.101123864315252	-0.124195183850451	-0.0753179505493412	-0.0870207442878268	-0.0742823581568367	-0.07047653004047	-0.0680866589682613	-0.0834719616462449	-0.0807623543129175	-0.116618990555728	-0.070363236847331	0	-0.0827146316251997	-0.0727170748691378	-0.0701465208738053	-0.0653001933740284	-0.0729415424878818	-0.0841631901646175	-0.100230939926017	-0.0894132782438714	-0.0882304630364311	-0.0833197517166249	-0.0730663532684602	-0.0890142853460941	-0.0768463820123993	-0.0871015284851787	-0.0899404089903917	-0.0824636813510395	-0.135959950326	-0.0951516113959755	-0.0983647713532538	-0.178389558581219	-0.117263896114213	-0.0951529371793445	-0.104981728271813	-0.0951156012025745	-0.114432234396894	-0.0740944458663146	-0.112400133354136	-0.131488705118648	-0.0900524542219174	-0.136537376114901	-0.141261447156551	-0.100451373358407	-0.14146313916792	-0.0965950986367206	-0.101146198988517	-0.0989637342211713	-0.103017944382685	-0.144154588936307	-0.106677222405431	-0.103346435376529	-0.122934512072841	-0.123641538202181	-0.157720672479693	-0.133008717449949
bm_700024745	-0.124678911218781	-0.0397138677293818	-0.0607337788709891	-0.0439542617014392	-0.125861089058011	-0.152965981266627	-0.0650870529352417	-0.0427034544332453	-0.0341633600507009	-0.0704293398389767	-0.0388135350525319	-0.0887310483481475	-0.0484950547871336	-0.144254309319338	-0.0946896652886009	-0.0827146316251997	0	-0.0884619003682243	-0.0409570267837988	-0.0722761928603959	-0.0546746077821661	-0.0566838104060922	-0.115040887578524	-0.1105334612178	-0.0507293335688641	-0.0446854365677654	-0.0863316403362264	-0.0503201837360023	-0.103519555243678	-0.0468436398885109	-0.0901078368368603	-0.041183705551461	-0.102497626363594	-0.0560167372807909	-0.058259139390294	-0.183067781995015	-0.0771935677240855	-0.102842782469382	-0.0645870464861632	-0.105725470975925	-0.0700098857019858	-0.0480667283980511	-0.116030033400954	-0.0900970161285658	-0.05758332584616	-0.146004430877359	-0.15309921457382	-0.0978053078513942	-0.136661377842328	-0.0504028169940287	-0.12419715726038	-0.0717427089146511	-0.11327401053454	-0.146770247558646	-0.0663899974370648	-0.117425114140666	-0.0869432657060097	-0.119862980436307	-0.157472706792546	-0.138887544423849
bm_700014787	-0.0836004916202937	-0.0706258121916735	-0.0729979799235812	-0.0843854071026611	-0.105078173336364	-0.111568939397397	-0.0685536344206111	-0.0749495940329829	-0.0700846056188556	-0.0811471025348603	-0.067255642413943	-0.0646951414896501	-0.0878420572565766	-0.092176452009327	-0.0744463589823662	-0.0727170748691378	-0.0884619003682243	0	-0.0712410911820911	-0.0686014587781404	-0.0784154825350146	-0.0872607945358754	-0.0709245456058889	-0.0778338464872289	-0.0764897261324446	-0.0787259613398314	-0.0547404254277573	-0.086980185049282	-0.0718220600962854	-0.0790419268361034	-0.0791032545843709	-0.085306424269092	-0.133872017102716	-0.0981630699320675	-0.0970433209721107	-0.180269682719724	-0.120150452164696	-0.0916799056281988	-0.102103908449042	-0.0810599835202075	-0.109703227149925	-0.0799754411216894	-0.112263292555774	-0.130159998343063	-0.0864198716091452	-0.13461202638076	-0.150291744820703	-0.0974511929470372	-0.143913020446919	-0.0986218818382219	-0.0852521891495993	-0.0889847330987931	-0.101741824101407	-0.146641865341603	-0.109113656522854	-0.106002010471075	-0.121457828107508	-0.118219110998849	-0.161494967922982	-0.138197198784973
bm_700114172	-0.0997232664691678	-0.0219866615224079	-0.0482468988444004	-0.0371132790246783	-0.119262442064361	-0.136416176363591	-0.0562065567910982	-0.0371316256251639	-0.0228688066717199	-0.062903875472086	-0.0299369929073769	-0.0677528119486267	-0.0439819940379274	-0.125130061928823	-0.0864862802694534	-0.0701465208738053	-0.0409570267837988	-0.0712410911820911	0	-0.0568866810764218	-0.0420683065790694	-0.0447381123616121	-0.0965670989693349	-0.0966403852891507	-0.0423584170741832	-0.0362029907733312	-0.0650820871164175	-0.0433329293148609	-0.0829309283353256	-0.0409320916780072	-0.0759395655005921	-0.0382008451283761	-0.107268506594365	-0.0514931733274367	-0.0628352375398274	-0.18216238087281	-0.0771332852039348	-0.0992822580151448	-0.0615353030055795	-0.0984518515685575	-0.074928041084945	-0.0382457563885157	-0.114332248946927	-0.092594138727289	-0.0524718138706727	-0.136433117405839	-0.148402291961816	-0.0914580691633574	-0.140379905424018	-0.0575296213688655	-0.108881423031213	-0.0662815842110013	-0.112379335965142	-0.145752870663822	-0.0648894480019265	-0.108237019466131	-0.0874908839014861	-0.11816579256598	-0.16177129044524	-0.135565265060354
bm_700038535	-0.09294551723179	-0.0545009764314277	-0.0639605266618686	-0.0717965095876863	-0.115085147013199	-0.129213831670885	-0.051284466006997	-0.0679857046039415	-0.060844700204365	-0.0588299168344048	-0.0509915228581838	-0.0630070538638613	-0.0726456722355609	-0.11453703876008	-0.0516785896517489	-0.0653001933740284	-0.0722761928603959	-0.0686014587781404	-0.0568866810764218	0	-0.0626874731099443	-0.0569366791162679	-0.0908537871559586	-0.0886182282549611	-0.0690516297632694	-0.0693191785401021	-0.0615297179837691	-0.0754567217851022	-0.0865938165995057	-0.0701101572256461	-0.0698843762492632	-0.0635401612236643	-0.107311180396547	-0.072256931064806	-0.0843118169515448	-0.18094953639245	-0.0972459992171016	-0.088132576673338	-0.0763770316292397	-0.085032462362638	-0.0911019987761288	-0.0608439840419854	-0.105282714420084	-0.103717300627912	-0.0716320661521894	-0.132140806556072	-0.137860627101202	-0.0793215247671806	-0.138912935351891	-0.0824789578235843	-0.0974693558254756	-0.0793522877672276	-0.110686611768544	-0.136983343172639	-0.084524868147666	-0.0973449240975817	-0.0955128960761389	-0.104382167637636	-0.158160879914162	-0.130375823506405
