rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Enterococcus	-3.26703963239062	-3.48367008840327	-3.02197011435515	0.735671799608554	2.45844017583444	-3.35707624904774	6.51229102440247	0.505321222965122	7.19659940442235	0.251225385289105	-2.47728053864848	5.10681759701971	0.381282527157928	0.320494489799347	0.820307622143779	0.419745163891836	0.897751406384374
Enterorhabdus	-2.13981919759279	-2.55001220302854	-1.56513231152633	0.990353223112344	2.09701234861795	-2.8126448389065	5.01740735971552	0.403411956570718	5.15106357596631	0.412288110213927	-2.07974159557277	4.97636408075722	0.309027833937531	0.196224179394873	0.758620744727025	0.226512603108965	0.819231943993613
Escherichia-Shigella	1.82129880104707	1.77451265154749	1.83681132830351	0.234091722420354	2.64395615027763	-4.740753236441	6.44016144251802	0.336557554191484	6.37607298497658	0.0857419512533638	-2.86356017180801	5.46230564460733	0.451388901215208	0.520816062010934	0.897812266937703	0.767985207516941	0.971322705663706
Eubacterium	-5.81817907147291	-6.53964549583415	-5.37644245014327	1.22520726681762	3.91584614763611	-6.03588894433775	9.31268885270638	0.597161619980268	12.4178490049696	0.270970718328021	-2.63292174411675	4.76264303736253	0.353552899714628	0.338799401926669	0.784384539793491	0.357292692794821	0.845692404887661
Faecalibacterium	7.72375642660763	7.75133321562969	7.61839519353326	-0.442532583256715	1.18834560184369	-2.45697602483258	1.28780208948273	0.122231136930993	2.81599223323787	-0.410091410114562	-8.94030524697921	3.26078581018747	0.384748730639822	0.170534879620436	0.765228579556419	0.405405304834485	0.908016462316737
Flavonifractor	-0.424427134830196	-0.518832185760997	-0.271468543096323	0.418200884541627	1.54424902352855	-2.29597957136172	3.71175331443344	0.235774070520688	4.08471840685973	0.203633238641127	-2.80765659607373	6.13506327455164	0.395833360684315	0.342203569709088	0.844210687815936	0.502354456688822	0.920046155558555
Fusobacterium	-5.67715392988558	-5.86852912601696	-5.41253568555091	0.618759595632001	4.6645495898572	-9.23828335833305	9.9527375843165	0.828264658557304	13.4538026039286	0.131747547718041	-3.3482001645538	4.01276227533571	0.430555573341227	0.576843311939275	0.895907104544036	0.624569026175063	0.94577454216711
Gordonibacter	-0.573049126185053	-0.323456175929673	-0.908373132928049	-0.594491128836107	2.28640075422759	-4.43920401327065	3.87807520845019	0.344923003978708	5.42698060107532	-0.244236646637887	-3.88452744836286	4.30276026497973	0.390625028852714	0.539328380567785	0.890010796768004	0.438967137738423	0.916869951613931
Haemophilus	-1.30350330522387	-1.40267321480878	-0.41611498965484	0.335847288202904	2.83486780456907	-6.69056928345158	4.23332371467771	0.30141732490799	7.0697042209203	0.0947040497300998	-5.9712393815493	4.36895770113202	0.475694450563809	0.8061454976692	0.947607092927396	0.842053336562818	0.97959412738326
Holdemania	-1.91095912047973	-1.75121944900926	-2.16272997636872	-0.398956337673892	1.27966754641951	-3.63564136522914	2.02062104269174	0.236036891886154	3.8852567516273	-0.283290944194117	-5.78444134152095	2.31152703485811	0.355286001405868	0.363212822520023	0.822628734330768	0.370263516475784	0.85930827184093
