rab.all	rab.win.Healthy.SS	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Peptococcus	-2.05718467470957	-5.24421386079019	-1.09162928271011	4.19518698564822	3.49012190598389	-3.56847868157291	11.7565236881169	0.618417172674672	10.3463480747503	1.0725323665702	-1.21830049753094	9.75602855504509	0.110918791080792	0.00365547298123877	0.0690583087150653	0.00115447782568925	0.0311591398573159
Phascolarctobacterium	2.68541160615118	4.52465206487046	2.24971905438803	-2.11015221615493	2.51609439535905	-5.64709806583699	3.91542475365119	0.243899032340884	7.24812648093859	-0.703839038865761	-9.90621697521954	3.0109993639013	0.234375092951044	0.0780013650437819	0.36533485914007	0.0355293726634871	0.19734472006424
Prevotella	3.42764464452243	3.1248617924769	3.8294966654921	0.790755456265767	1.99431170091412	-2.58013498870707	5.05354438185894	0.25242238888876	4.75047551460269	0.364175342392731	-1.96998174866622	6.06865255104154	0.337954984662055	0.15151081569495	0.492202369943221	0.205731409330296	0.50090854825503
Pseudobutyrivibrio	7.32698037171597	7.48198015599721	7.21291141791638	0.12974238515929	1.64745700643729	-2.03683375467192	2.99848923027394	0.227524687394351	3.26697193801286	0.0800507355617601	-3.43202597850841	4.86555466573996	0.460069454538307	0.521246292001188	0.757982975582538	0.800765774425929	0.878096793902643
RC9_gut_group	-4.20208247042509	-5.76093795362106	-3.04382862563838	2.42020338334893	3.8817145919818	-5.56414282400833	10.4648939058765	0.632048719314921	13.1050075300133	0.512786233315805	-2.46628367129346	6.43694643746691	0.258680634575372	0.130466844886849	0.38016704882407	0.0690811223139661	0.253584103400627
Robinsoniella	-3.02275326537036	-1.89896763873737	-3.43018430449029	-1.99256394137785	2.69314328229688	-6.97986408504524	2.90274778720161	0.532194700544019	6.69639023355985	-0.675312348432332	-6.05055072028063	1.69812172258262	0.256499213347505	0.0649870269295628	0.29238387981248	0.0619717989390472	0.244429363558783
Roseburia	5.75795011538051	6.21620899358544	5.64074789754559	-0.577294072555231	1.2270966628648	-2.66404569223461	2.26743430007007	0.182616554731916	3.22232735788879	-0.430892919885599	-5.51795247397891	2.80665047124573	0.301559850984464	0.240026968750595	0.571185394248442	0.16055073971093	0.452104556991017
Ruminococcus	6.06687516041049	7.07065269704883	5.94512462767947	-0.58527780422194	1.85283909872957	-3.1357247214801	3.19131929667892	0.204372090090253	4.41920725048091	-0.264866247267667	-5.38326141079212	3.85905908307427	0.419410765943737	0.602725867688418	0.80482368988277	0.515816335456717	0.712208477264623
Shuttleworthia	-3.2645173451798	-2.57154450088627	-3.43384826412686	-1.15795235387895	4.64597657027058	-9.88054847001986	8.36116271565091	0.691670833078586	13.7852993078405	-0.251587038474976	-5.32296098051364	2.99532370343918	0.414211460599349	0.521354536785548	0.74301202044606	0.489594761755987	0.696795727615194
Slackia	-3.3618056950345	-2.98765504895414	-3.62592993631804	-0.327978429036938	3.8889188645875	-9.43491919254771	8.08395273320609	0.587515652316217	12.4287879208505	-0.0638487999689776	-5.52833261099475	3.45346255834259	0.464471412750881	0.604748727499126	0.792644828515755	0.753583557392559	0.847837722610486
Solobacterium	-3.38383506741057	-3.77233286666519	-2.79554110803809	1.2925456122067	2.71881389167722	-3.56674468630129	6.77518799666224	0.407944700489541	8.11685993933979	0.415829766522289	-3.23078033376636	5.55294132953914	0.33448878136151	0.205521624793704	0.496751171744105	0.243864825174531	0.497508109755332
Sporobacter	-0.0916243336923426	0.0974211733995798	-0.273728659045575	-0.441912230213059	2.04840118193456	-4.67513759754782	3.29526801626938	0.290941856844402	4.96921404340173	-0.195946619201364	-5.06024280611085	3.74187451311316	0.409012155270352	0.467059302463248	0.715080066161311	0.533661130290997	0.72410340746707
Streptococcus	5.65605788706082	5.97086993220369	5.44089889376856	-0.90146212684228	1.7617841513902	-3.93101988116435	1.85723187683963	0.258511407818695	3.43068549980311	-0.491509046074417	-6.12944033118247	1.95656371700173	0.270833406201102	0.0672308554215146	0.341376610438461	0.0654445177605575	0.288771655254973
Subdoligranulum	6.61487530513351	6.5393852393419	6.66716279311975	0.168984164359745	1.70448808150209	-2.89567495130369	3.52339398762276	0.19359339014777	4.68412309709747	0.0895259652497967	-4.20141717874062	4.79576029890895	0.451388901215208	0.624085851933252	0.811713997323962	0.740178710734346	0.846242219988037
Succiniclasticum	-4.48339858057773	-5.28384606052651	-4.09611503626534	1.47085622669565	4.68460136266622	-6.19076040867664	12.2868436246681	0.779506677741369	13.1121335132305	0.276096055688863	-2.2238878386919	5.5762417671053	0.352430596157773	0.2324492138426	0.524173103312926	0.299960506812981	0.543028541792659
Sutterella	-0.572689377498293	-0.270060406769877	-0.764186650331632	-0.507171191522902	2.12074433732442	-6.7760649758216	2.42841911058116	0.312927332877214	7.06336024928577	-0.204933995684309	-7.34013771228723	2.17492204719735	0.385416697042168	0.219681311801892	0.55320274806087	0.343538480570614	0.598896783144761
Thalassospira	-6.50781236549164	-6.73831427032414	-6.35197755260227	0.430360458524314	4.08881569322114	-8.48510311267755	9.1752138089544	0.781156021518247	13.278898286503	0.089547977330818	-3.75574106108424	3.83749747064915	0.438474885654038	0.503793973319109	0.718320617397917	0.54938129013372	0.716407195026653
Turicibacter	0.173418555330928	0.687709880023705	0.108657311091291	-0.185960664305051	2.02585951543013	-3.1250387649521	3.32629046049403	0.295122497631415	4.08476645000302	-0.0938490160361338	-4.55599683362367	3.74138613577045	0.473958339892094	0.781330487859417	0.887617634177995	0.855298733789724	0.911638348317955
unclassified	8.27009241886737	8.63021757155155	8.08250223973799	-0.57476089122569	0.615230378232486	-2.27065875610489	0.440034596563145	0.105523029562871	2.01420261028735	-0.852911924064602	-6.77727179642457	1.09131243783707	0.135182171007216	0.015709523840798	0.170227738547327	0.00415819712597438	0.0616008610487236
Veillonella	-0.164900572382091	0.0720233345453565	-0.353499314154941	-0.466236356539326	2.14059563635012	-4.27313910769642	4.69627202792585	0.330402301461204	5.59886754016865	-0.188449126007251	-4.28722686004905	3.88235782262438	0.415944562379157	0.68542133783751	0.836969522884859	0.556957593437573	0.738237503395153
Victivallis	-6.5579218085392	-6.87396285111605	-6.33205963157899	0.553903375167335	4.24469209777573	-8.22084052516079	10.5037318156969	0.858003496673625	12.6543134944767	0.111306982328343	-3.11168409918037	4.71788135137433	0.435008682058385	0.474035652675604	0.699975624786567	0.474844782979631	0.666637568308175
Weissella	-4.39186922318624	-4.8146580598229	-4.16159043448055	0.409773606541433	3.85786645915541	-10.6440620997617	6.81484663377969	0.591193512214605	13.0556392282081	0.075351665910749	-5.96394911235914	3.98395025729411	0.448873496467883	0.65573473005367	0.817328019278925	0.631237851375598	0.780665945584387
