rab.all	rab.win.Healthy.NASH	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Leuconostocaceae	-5.66478175623527	-6.09315656528749	-5.43938796360019	0.959528457885358	3.78692611605873	-5.41187499035792	9.97675114193298	0.622149007156688	11.7749854436803	0.229902691504586	-2.30054150016827	5.69983449611025	0.378472254663224	0.33025071899394	0.784310974305558	0.394366587501836	0.77822709476211
Methanobacteriaceae	-1.555864012787	-1.93890196280535	-1.36474265611092	0.358619414449894	4.74556188806691	-8.60903316665343	8.56200887919644	0.533496353705912	10.508351162676	0.0670803539606387	-5.59875408912739	5.49422466578544	0.454861122541953	0.930605527554819	0.971532383161865	0.667533796741731	0.920366226883622
Pasteurellaceae	-2.78589911643645	-3.28198954881551	-2.44663954664053	0.76254322909049	4.25973471259163	-10.2426394190552	7.40733748420408	0.61509114851886	13.0312489264109	0.139101953142737	-3.95911229430208	4.52620360682607	0.423611130756497	0.792059993763645	0.962494367331777	0.563438202196704	0.8969935742155
Peptococcaceae	-4.35628516787131	-4.47834926573767	-4.30731455316223	0.220536862979971	3.79051496498611	-7.42104616768554	8.79566415987568	0.572460677847266	12.1646073495816	0.051479590640781	-3.25140243936173	5.59392917320837	0.468750007879944	0.666074723636762	0.935290307208544	0.776184659377715	0.932306645748492
Peptostreptococcaceae	3.18875362823623	3.34749600009339	3.0950499507328	-0.152203474193972	1.85451584658544	-3.4050440285157	3.3340176286351	0.21044883118024	4.19837263155549	-0.091227711030837	-4.11487620060417	4.10578599033452	0.467013897210334	0.875847456660163	0.962805026829065	0.793278715590927	0.934626231180915
Porphyromonadaceae	1.53419637352313	2.15174218995179	1.22971216588882	-0.945817947099018	1.58610365630653	-3.59476090669161	2.90064627610932	0.255853953146586	4.16551340906816	-0.511246149834704	-6.08209959128119	3.63039227082788	0.285961937345015	0.165767117762641	0.676384678799387	0.0797529706410076	0.4542596810337
Prevotellaceae	2.28677032221055	2.0666271682735	3.18545291590897	0.728232847996198	2.62640647069914	-4.17211825499461	5.3589844035535	0.320202692318589	6.0864515676123	0.288622453281353	-2.87613255031368	5.28330116169384	0.399305581916431	0.28207853305069	0.799274894554808	0.388418493843996	0.834454668942742
Rhodospirillaceae	-8.28431776287499	-8.02859836865673	-8.44290584046129	-0.573693032787109	4.71174785398846	-11.7302353761588	7.98029569368131	0.750951091826025	13.3871549720659	-0.107054682056828	-5.78089270327058	3.15460319898254	0.440972237257974	0.469808881364717	0.832649802736743	0.522767628722359	0.824815532844689
Rikenellaceae	1.46868408377992	2.36081801609604	0.805483409481496	-0.86764356562044	1.78493331159922	-3.40274895790359	2.09875250227257	0.242996164996036	3.1630084528222	-0.520386824289238	-7.35501934552636	2.22646907927677	0.280762632928835	0.0729169794225015	0.579412540344877	0.0703967253637465	0.442614575778658
Ruminococcaceae	7.49962686433653	7.85257068001578	7.34997869031482	-0.467473891859887	0.863058916393127	-2.52899438455004	1.45056805225913	0.125435180729712	2.4723113094565	-0.472923976190854	-6.99848883787913	2.2941480058898	0.262152854990715	0.14524020832408	0.641634299888223	0.0781657384030947	0.453518762397297
S24-7	-1.44330530295058	-1.78467126667392	-1.17972039492658	0.969752919572641	3.26052703359458	-4.67398125529998	7.44863321030454	0.503567116581914	7.30110812955667	0.325960508775712	-2.16788034252104	5.2827768091935	0.33448878136151	0.25586461937269	0.776746290125116	0.24035785693581	0.733017850700603
Streptococcaceae	3.74071051310661	3.41094632457468	3.91704884327885	0.599238392638616	1.52595481799435	-1.72546336485759	3.706569730611	0.210073359113515	3.51281161494003	0.407279265817059	-2.41258585414777	5.55253395974974	0.343750043493183	0.114929372869744	0.654815288210818	0.214709656241969	0.706334063049065
unclassified	2.60978905795306	2.88793601452037	2.47530264032404	-0.304296162866704	2.4099620086092	-5.30512400597861	4.34175541769205	0.30638043934169	5.60997536559593	-0.114681952504019	-4.63835866533506	3.63504819576577	0.427083352046015	0.715812235313286	0.957421888279173	0.627392511801111	0.912427792631784
vadinBB60	-7.79677839298018	-7.71310508305711	-7.84600712549669	0.082994776753222	3.99008550222098	-8.11499666460337	8.65093497160543	0.769295355731882	13.3051365160135	0.0106187645474359	-3.46050530693337	4.66328244043234	0.493934143632913	0.543079237411959	0.882783208107498	0.586699244801545	0.867839725905149
Veillonellaceae	4.14095540768094	4.71747774308594	4.06979885854295	-0.296175563573509	2.37844506758114	-4.36979252713761	4.00199716729905	0.363611126091326	5.35505104396116	-0.130819167924733	-4.03721118293791	3.57954123019194	0.457539005506029	0.816426637478045	0.960206251136187	0.772144889231696	0.932254651395521
Verrucomicrobiaceae	1.82640306045408	1.20074869500907	1.96362848843016	0.56452954225054	3.50740891725651	-5.4473834294225	5.7377970062165	0.408645214066433	6.97452293613016	0.163494077483591	-3.92997940959556	4.33932213155875	0.441941089254363	0.750950111577467	0.961454959241978	0.795161836024976	0.942207874071904
Victivallaceae	-8.86711168624195	-8.97738283845892	-8.7801198607296	0.244252218099142	4.30457081449866	-9.61804349234834	8.52315809572599	0.771525590044826	12.4889775392896	0.046620672310009	-3.44347351203697	3.4166017062691	0.480069329086776	0.485872207941891	0.85026488359586	0.48839555414362	0.798161162077664
