td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700096706	-0.0754761420394963	-0.127222953099775	-0.164637465976478	-0.185603438500598	-0.250246989466278	-0.147647389246171	-0.0680205651427033	-0.146192816949251	-0.165318623782344	-0.0810724572711935	0	-0.125719916536559	-0.150956318597422	-0.0511327942271683	-0.175627191398591	-0.0786028148253799	-0.115939285423938	-0.110215647103824	-0.102859304537228	-0.0994551586743106	-0.153910153201418	-0.138644112777892	-0.206966736070668	-0.0640359213637243	-0.0853441715976626	-0.162471509460787	-0.128075416698058	-0.0956322255814166	-0.116451764038347	-0.10177928922493	-0.0501268340830099	-0.0877645111245592	-0.183590077421645	-0.187389465439827	-0.0871846883531111	-0.191109174398133	-0.172116982588047	-0.073661035671254	-0.239080141198816	-0.139173797376099
td_A_700113602	-0.0943377479073824	-0.166549592863568	-0.167199598049931	-0.210177875763592	-0.295128599284853	-0.143523589443944	-0.0902392374874609	-0.135405196119407	-0.135630292675103	-0.103230627716182	-0.125719916536559	0	-0.114999331757638	-0.101620396225586	-0.214398564255248	-0.101693510626471	-0.134555161188633	-0.116725201542885	-0.107485033319698	-0.0685825501508074	-0.186449315150887	-0.118603417382433	-0.237261014540087	-0.108723430366682	-0.109268247230312	-0.120430450961513	-0.17095264515885	-0.124004089305787	-0.105821960604739	-0.131689777119657	-0.106410492485346	-0.0907238154686519	-0.126550754356634	-0.197261235294246	-0.109032369820281	-0.241493006053912	-0.137454891150814	-0.109906876910781	-0.234821588062985	-0.13951963251521
td_A_700105837	-0.109914042370007	-0.151323857661111	-0.108436407123747	-0.170137866822988	-0.254967508564235	-0.134658161940962	-0.126244670264897	-0.112617956721604	-0.152822762837051	-0.111992651223819	-0.150956318597422	-0.114999331757638	0	-0.135591582244444	-0.178966611914904	-0.111603594993592	-0.126326522740541	-0.111861375371759	-0.110250222281883	-0.129764208180765	-0.141782079683487	-0.107865243400218	-0.205433330852656	-0.140844937105094	-0.142649673172178	-0.124707383972533	-0.158017342160762	-0.131085195147969	-0.110185997048228	-0.117288611238115	-0.12295915697732	-0.134847677829816	-0.137959070159458	-0.144501542363512	-0.137104726685488	-0.210885446163166	-0.117935868666947	-0.136069174720876	-0.230516346496461	-0.0997357237181084
td_A_700101777	-0.0731315145266007	-0.118754694707322	-0.157415686625213	-0.188470416030581	-0.271867189654103	-0.120700216670911	-0.0664725947493971	-0.137166184503065	-0.141074047386469	-0.081560704888547	-0.0511327942271683	-0.101620396225586	-0.135591582244444	0	-0.17837782410604	-0.0770382800556727	-0.113435081001312	-0.102894723742492	-0.0983053497831208	-0.0815475130708145	-0.157431994469906	-0.12486965082319	-0.207617947248458	-0.0717119579261635	-0.0902830703632123	-0.141246688471471	-0.128214725960744	-0.0863793394356411	-0.10744459818987	-0.101137972302775	-0.0536841337206086	-0.0744437124338497	-0.153801023942846	-0.185978251626133	-0.0883226832130611	-0.194528769207544	-0.155386098049293	-0.0610367663330016	-0.221272900353604	-0.126681035915689
td_A_700032228	-0.148645106570514	-0.0907600612443179	-0.11638238262243	-0.0936911692424348	-0.157703706137896	-0.113303952167895	-0.209876217327248	-0.164197482748749	-0.177567165191378	-0.166987986669152	-0.175627191398591	-0.214398564255248	-0.178966611914904	-0.17837782410604	0	-0.177147237286945	-0.111487326476102	-0.154880189263553	-0.150951165439032	-0.222006101248834	-0.0746277977208232	-0.16631417720842	-0.102219745501754	-0.199145451612821	-0.211227498133209	-0.20288326835306	-0.087503128655701	-0.157639252926804	-0.186667349266712	-0.121573432252639	-0.165215725677759	-0.155140021404401	-0.182592497602333	-0.166589023727975	-0.21643094356331	-0.0991928941655788	-0.190452021453455	-0.163357577691609	-0.228570263024437	-0.143925854960066
td_A_700101587	-0.0541007803383771	-0.143216513949153	-0.123447546959984	-0.177861983377995	-0.255695647618489	-0.147161894001553	-0.0742422313255085	-0.122129828414014	-0.176309962058393	-0.0491500502294521	-0.0786028148253799	-0.101693510626471	-0.111603594993592	-0.0770382800556727	-0.177147237286945	0	-0.10169816664479	-0.073441497864869	-0.0659687460479244	-0.0951787617865298	-0.138054420312807	-0.142877997191163	-0.200083128239459	-0.0620073751366924	-0.0659793167172923	-0.156857756975989	-0.144358154730265	-0.111025451360613	-0.0716431836661513	-0.0940744517719898	-0.0473515871351148	-0.103822575784457	-0.172376618428376	-0.165079954711826	-0.071786928925758	-0.221840841339013	-0.171523046305702	-0.090314585192016	-0.256761177039053	-0.127041574227545
td_A_700105885	-0.0709646268690765	-0.0920112961032237	-0.0970153601216785	-0.106670690419351	-0.192493953848692	-0.117827744327567	-0.138312476123832	-0.106377646122518	-0.167613537345988	-0.0883625126966379	-0.115939285423938	-0.134555161188633	-0.126326522740541	-0.113435081001312	-0.111487326476102	-0.10169816664479	0	-0.0890777837923869	-0.0658073345534879	-0.15248659594985	-0.0884276179415226	-0.142488327538934	-0.143860712916705	-0.123470380142987	-0.135749467736556	-0.163474595963235	-0.0800204355573968	-0.0788354972563781	-0.112013894107593	-0.0613130983239136	-0.0935315841247308	-0.0991131935519113	-0.171942045444375	-0.157537273675119	-0.133019656249267	-0.161698840738151	-0.176840346669549	-0.104507419104662	-0.239902406083899	-0.109853347760437
td_A_700038395	-0.0730697800937176	-0.135953194455566	-0.112589203126519	-0.172413042323085	-0.248034195888873	-0.141446877272318	-0.108003194476287	-0.105780019261843	-0.170309786621724	-0.0625695108891425	-0.110215647103824	-0.116725201542885	-0.111861375371759	-0.102894723742492	-0.154880189263553	-0.073441497864869	-0.0890777837923869	0	-0.0759308244305197	-0.12025671242995	-0.119913295124133	-0.149712157326668	-0.178470767079479	-0.098462691677222	-0.103292457570071	-0.164455548467944	-0.129575411993271	-0.112933054687101	-0.0625240694633358	-0.087640386731969	-0.0815574117424498	-0.108744245389705	-0.171547878691627	-0.154282367810475	-0.105270564219272	-0.21070247918601	-0.176660892445544	-0.113790865897967	-0.258377887272683	-0.122303642459092
td_A_700108602	-0.0474266811996713	-0.120882810898286	-0.0946829178467809	-0.150543391262208	-0.233937557511934	-0.136745217996629	-0.108903059000443	-0.107940315311004	-0.177578041215092	-0.0607612241005339	-0.102859304537228	-0.107485033319698	-0.110250222281883	-0.0983053497831208	-0.150951165439032	-0.0659687460479244	-0.0658073345534879	-0.0759308244305197	0	-0.112221399761351	-0.113813521233166	-0.142941308149806	-0.177891527238173	-0.0988474156288234	-0.105357480209637	-0.162246753110118	-0.122468989925165	-0.0956363981120999	-0.0814830837219852	-0.0715092844695765	-0.0747519086877754	-0.0960208399359091	-0.172772534044111	-0.140697684009008	-0.108936143113259	-0.198974979876211	-0.170850824904296	-0.0991804620820011	-0.2578337442635	-0.120483438961226
td_A_700035937	-0.104803400817396	-0.175128750740959	-0.172343831691066	-0.232364069552737	-0.317678543649178	-0.154206308784712	-0.0673847673682645	-0.147641870687055	-0.15404659623712	-0.101839573917119	-0.0994551586743106	-0.0685825501508074	-0.129764208180765	-0.0815475130708145	-0.222006101248834	-0.0951787617865298	-0.15248659594985	-0.12025671242995	-0.112221399761351	0	-0.191334774632844	-0.139203209772968	-0.24818439712875	-0.0898376844087923	-0.0877936552090058	-0.152523033856463	-0.182770020899362	-0.148248726332142	-0.104235587165345	-0.143495557896706	-0.0839683139551945	-0.108096817695137	-0.14341336730032	-0.19734759970104	-0.0926292123699636	-0.255500110789137	-0.147741781754506	-0.111552068168634	-0.25833510659091	-0.164589224030915
