rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Methanobacteriaceae	-1.63462015816107	-1.93093759575726	-1.52282204440453	0.32505103474835	4.11000640464664	-9.16075903772129	7.82851689875323	0.513929386772331	10.3013989505916	0.0722867595137671	-5.58447134876766	4.6002457267087	0.460379465320377	0.643918332726313	0.791338337113565	0.635453300811793	0.789068672922416
Pasteurellaceae	-2.85509799764917	-2.83135036258072	-2.88263083812545	-0.118117611474844	3.0400142853303	-7.12278670102969	6.10564577813822	0.532278986798639	9.34946287781215	-0.0296091489577874	-4.36849613500881	3.27240900066726	0.485220301554667	0.661918551430217	0.793241861756469	0.773207108830134	0.854440485738934
Peptococcaceae	-4.00906491632835	-5.01220130494546	-3.57946489100209	1.42189080874719	3.69996374277176	-7.34902771758866	9.54772671245551	0.598936333438744	11.9655444804344	0.320818101434202	-3.27868764654845	5.94053812759156	0.319576134769058	0.0700979838013804	0.19560492672385	0.0177091216065132	0.069435993506297
Peptostreptococcaceae	3.25786899306242	3.35869031032049	3.19860188487668	-0.158667068189048	1.53395533848865	-3.08860056864311	2.76615026298861	0.24171621106853	3.73565873044651	-0.0983296776992776	-4.17496037541388	3.31135232926268	0.452566965527795	0.515222819784482	0.717233069572087	0.520685313387808	0.696788365562436
Porphyromonadaceae	1.51891217521869	2.51448741367823	1.23060327761069	-1.05399242099696	1.84228222159827	-5.26311534925255	2.66569804283739	0.270162667521246	5.10945939241763	-0.497393674622706	-6.15378083526265	2.63952971032347	0.281093147008805	0.0070123844294647	0.06900978224203	0.00241766402585612	0.0250221965452726
Prevotellaceae	2.60245874259763	2.26711162785792	2.89013633696442	0.698058861254709	2.53568830700582	-3.93160697763323	5.31934681305976	0.432027268476482	5.61053890612818	0.25791907010253	-2.6418870487407	3.87360573260202	0.382254467520645	0.123136033619444	0.302710562696245	0.138200241861725	0.279112739595868
Rhodospirillaceae	-8.18173959916804	-8.29116319113001	-8.09858034206377	0.159360977995664	4.84069646899078	-10.6362126573279	9.43532081914563	0.853007932195848	14.1736828204341	0.0303843247937543	-4.42851050657581	3.59869476657644	0.482700893306598	0.551904682064285	0.696414973133433	0.547242236262661	0.675498108801763
Rikenellaceae	1.52518148239607	2.38812535839637	1.06641967095338	-0.978799212196047	1.81193114950876	-4.26564668897947	2.51470923187144	0.341295761261485	4.56434707643381	-0.507072807154552	-5.26600421374094	2.44948784811008	0.283881769298546	0.00385956972751334	0.0598058563063287	0.00210649043128498	0.0243955575374492
Ruminococcaceae	7.64397642144759	7.86073150081108	7.49155985971726	-0.404751253188145	0.741122548875556	-2.02640241708636	1.07622404134549	0.129864342551854	2.19810719202487	-0.514455389439229	-5.90433874971696	1.96761279962977	0.2712053646526	0.00308041920102788	0.053897831738161	0.00307066936012398	0.0267988911209502
S24-7	-1.9542569050048	-2.64330733004449	-1.50680171836901	1.38715192015108	3.18431870719583	-5.46277001192867	8.64555712747574	0.496924523238558	9.61371300583125	0.383619041349272	-2.76463310039909	5.69733622816247	0.300055778617791	0.0206027919481447	0.103865938011566	0.0052709938738981	0.0345466620579574
