S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S10	67.4908587054693	68.5455349727114	156.105626630071	94.4155381343293	61.4311769778664	142.573043111826	58.5465316837832	58.3204275635416	97.9113054834457	110.26464002425	0	101.902337019785	94.6444796776082	61.1164634779648	79.510054448746	73.7567682018102	83.7237301295534	73.7290255068726	294.791775925652	143.41381834018	68.2773718929103	158.161278674537	88.7929549677978	83.7047287925629	351.912559341985	131.781789834092	72.7997925298886	91.7799948155522	506.560016897837	55.002324387058	125.022913755737	162.639033186904	103.264033271285	105.439280049431	72.356728159883	79.78438754653	98.127652471776	390.449125144632	125.084054783278	79.6330518276005	150.974301646533	101.526184120535	153.814928071343	18336.4704234263	79.6518654528312	92.3234737829601	286.419463321933	139.733498441482	168.233803848312	60.5141056384546	114.755467469387	73.9829470074212	176.855923170584	71.4151926871147	90.5522468542462	98.965426464688	46.0772093361352	137.550472575574
S10L	61.2047005361771	106.542232834858	180.876499626712	113.163562853462	91.6726692526363	147.15137386237	82.9123726673775	105.004836833347	124.825996752281	110.767147717142	101.902337019785	0	103.926207515786	90.1341024797315	114.898592683405	115.396339676197	98.7527103308267	103.21030379946	280.08204141167	129.734676299316	93.6181011347413	133.923128685656	72.3421415521565	104.487642994029	331.183576347983	95.4941536220105	85.4553501419845	139.764149936281	490.125681621823	125.884103581614	119.870561277967	183.283678836135	127.019447499489	148.505119422502	96.5957477250411	144.524975080994	73.7481644105103	355.773241590743	158.560012363167	114.479776696162	109.180200286832	118.627666917799	185.802958025135	18303.8297760539	122.660840448558	116.213620676289	268.661356608428	146.400972595398	127.228643524857	87.0243453076278	115.815239694642	106.536482958387	175.072422370843	112.880131556084	105.651205796575	106.131335222096	107.021782914542	173.404982775128
S10R	92.2272495710984	46.1273879208815	210.405137153302	28.1535147910384	59.6411267426641	117.742446249569	82.518050346743	70.1726051530145	33.3525602562956	37.0583004282976	94.6444796776082	103.926207515786	0	94.1031807173211	63.7278104795101	145.708554738261	34.3529458920571	134.484606349697	321.540362263904	169.520499666729	58.6445631095071	155.333366539243	103.242975020688	77.9033520857622	386.86305718648	153.999124415905	113.912280395154	169.322579695995	538.683807203187	112.591453787963	146.071784169275	230.77146957667	162.204751060903	181.828090807087	40.5447238555934	163.513118352988	119.817868471883	402.890344854417	186.466790995607	91.4282063683058	134.185835379073	90.1365547851006	227.700788375464	18348.4894355689	141.726473118068	92.330116644747	275.471126339576	136.371370140532	144.605819501619	111.386477519064	136.816925749585	132.920630496732	208.920673486707	54.9497028650705	107.934648229124	141.701644937143	78.2684143314808	213.742564819749
S11	56.5659237934551	74.6718539379563	182.886876354785	97.3079013850089	62.7048793460134	154.366892627587	59.6146670545397	70.145733271883	104.670773719029	100.830565042884	61.1164634779648	90.1341024797315	94.1031807173211	0	95.4621716795994	69.6091014538541	73.3752218513195	58.451157655777	242.814219630544	134.899929878105	63.8011219137206	149.501880788381	78.0148071639632	88.5084000941643	314.580525703346	80.3183937660228	91.0097677541412	95.711062973461	469.175266936897	45.0714452988064	71.4526920261669	145.055661671401	84.1123229317844	112.259498017933	77.8914907321073	89.4882419203357	51.4603985926508	335.44108729338	146.982566606521	40.5766319984529	155.903429040103	56.3712263823291	146.308905289561	18284.3250690375	63.1997088514924	48.7755048152078	286.517096358859	144.363189185697	156.475165548406	31.0037949381857	130.578910329876	97.0007340965629	144.090528795368	84.0354993323167	37.8854620692167	64.2576211960958	49.6724691991597	134.469633719228
S12	89.6098792733697	72.7480518470039	195.240431786263	74.058852708987	61.7978929924756	110.569932110278	81.9693178332901	69.5286637957293	69.2389824353221	64.2419535625808	79.510054448746	114.898592683405	63.7278104795101	95.4621716795994	0	133.063928090429	62.8620381442853	122.643034031738	322.422386090124	157.447170648776	50.7940033452735	143.962314059338	100.527161743588	71.1264248366829	383.329576586001	157.678889592132	94.3750483454964	144.923173941607	523.131858056523	102.700845459326	156.527106051499	213.210070470837	151.734891707523	149.368493084015	46.2620451979998	137.873923333682	122.791756378787	413.998577965089	163.916890794508	93.7537963141465	143.760616672015	106.426229819341	210.904062936642	18360.1442488977	126.573972830916	100.438648380677	273.264183541939	116.467509093962	137.772733069326	98.4266314704097	120.200826201172	106.964559893873	211.741627947964	50.0969141874986	114.707712213607	133.71446072621	68.5129980563416	190.712373473662
S13_T1	87.5536807465469	117.723884508644	180.15129709723	138.917963778971	104.818029409216	185.84426925396	104.790353296736	93.3002932984751	135.339172031091	156.963793654481	73.7567682018102	115.396339676197	145.708554738261	69.6091014538541	133.063928090429	0	123.840425764862	31.7128193673633	271.858329648004	153.514444828384	111.78716133661	164.215321770046	101.278367958471	127.614974879984	315.764466105913	103.19233593268	96.2338934323141	67.1868956936507	468.933213086967	71.5830910308966	97.7629726304963	121.992013760892	69.277452110219	98.4622001927615	119.300698575776	57.6231987713121	84.912701156874	361.980103341333	149.498346808781	94.0357522166921	165.258604508149	118.721386103852	143.761293099576	18308.2095116893	76.6321530758928	106.850513150748	300.335269206611	181.653723645676	182.454483102679	63.3807816145917	130.41514013846	98.4905729433046	144.075958909396	121.803871167309	93.8897476721961	76.8735365417675	96.0198541346385	89.2321931532932
S13_T2	78.6894579011752	38.9477385233982	194.230510566634	33.9297614066725	38.1507909149119	124.837503218102	73.4734201076542	52.406265633663	46.3985944943732	42.39547092678	83.7237301295534	98.7527103308267	34.3529458920571	73.3752218513195	62.8620381442853	123.840425764862	0	112.624609998064	298.914456451704	152.031404596175	40.212859556659	135.279985176711	81.1478485374523	66.4397089403636	373.603397802123	135.305040836357	98.6744201213704	154.081268115727	515.048658953077	94.3148677972824	127.019026395143	208.95140110853	141.386641988023	163.20038892528	35.145625695839	149.678764815636	102.892053102948	388.089114399589	167.15936796297	77.5611301651274	141.730274680346	70.1591451018289	211.727004705905	18334.5746707969	126.980592141051	82.5258948249102	275.938591813393	125.267814326978	145.600033748042	92.479201965064	122.429725253309	114.141232609758	193.935329542367	38.0098498406116	90.5508694827044	126.19978545279	63.2883763177706	194.941413822338
S13_T3	73.1323527197953	107.289828857068	174.161944272414	137.762730758827	100.508903907568	186.848513684447	101.679661551316	103.421602628876	142.889700358415	141.633027009513	73.7290255068726	103.21030379946	134.484606349697	58.451157655777	122.643034031738	31.7128193673633	112.624609998064	0	253.634593654751	143.562792544226	103.626446667822	155.39938866691	82.9764790533832	123.631544537007	322.947483958112	88.701338511232	84.380945731181	54.6584390767395	450.863196980726	55.233178468394	90.5239369222149	121.418052738433	56.6125756459455	88.1022702423997	109.084969895634	58.5843547019785	69.3760808073127	350.842373453053	130.452076593834	83.5113273022404	161.058385726436	103.595202631263	132.045211008985	18297.5381757007	68.0110612111458	95.4762667329011	288.659797739543	176.257478652841	164.215348033968	48.5467421814667	129.188231964239	90.2370349047168	130.566139078516	119.135587572204	80.8471424235621	73.3627013956326	81.080027351984	93.1792541908761
S14R	250.435785620283	305.757525288941	164.03787055233	321.536277398546	287.662065575008	367.277861150774	271.825871223115	303.296551264159	334.809246779028	327.504782745663	294.791775925652	280.08204141167	321.540362263904	242.814219630544	322.422386090124	271.858329648004	298.914456451704	253.634593654751	0	266.091143102603	297.683747194724	207.454087869948	239.683536715374	313.129704689218	253.762565339552	243.754555412701	256.813200603303	297.246932945617	331.672050091424	281.107959810208	248.242426929385	203.86567587367	215.43466070345	262.695817563591	304.589312089713	304.156698938376	232.330492062953	329.202502532965	201.900563177438	247.24513239828	241.454148726886	262.35242388594	272.136130834187	18179.6535845529	256.931545369909	251.853715712869	94.7029597105273	348.227393731637	229.116811190188	245.631201008501	240.605744715857	280.047494892591	310.452531026883	317.832243539352	237.76956285101	241.693318672139	287.302755966355	214.015611429046
S14L	107.357571100781	154.088151551874	182.378627692381	170.89257623569	138.545726010486	177.560980421847	116.679457547908	147.758765201931	176.52914354393	171.176896733333	143.41381834018	129.734676299316	169.520499666729	134.899929878105	157.447170648776	153.514444828384	152.031404596175	143.562792544226	266.091143102603	0	148.467465556336	133.58691427627	97.2911198402395	134.914833408646	326.551939022474	143.494558663978	104.24021699692	184.681611944687	497.47952344529	165.718009427666	152.275238631635	164.26293844327	129.541161656256	168.478094542211	148.088487921328	185.581779447645	112.978417379638	378.440487300791	144.016313912083	142.747599565298	144.431887488055	148.101576172854	198.210273151725	18323.1281871414	150.644307354713	145.597842577107	279.44173982806	122.793195794463	147.289202570118	123.896346535445	123.123711683572	117.333009658255	216.795598336901	157.525685764294	133.475685837761	137.285653096759	145.891333871653	173.371054566812
