CL-148-BL	HLD-53	CL-119	CL-127-BL-2	HLD-112	HLD-85	HLD-39-2	HLD-50-2	HLD-64	HLD-111-2	CL-141-BL-R2	HLD-34	CL-128	HLD-100	HLD-22-2	HLD-104	CL-176-BL-R3	CL-151-BL-R2	HLD-25	CL-165	HLD-23	HLD-24	HLD-72-2	HLD-43	CL-147	CL-118	HLD-51	CL-134	HLD-103-2	CL-139-BL-2	CL-154-BL	HLD-77	HLD-35	HLD-87	CL-137	HLD-94	CL-142-2	HLD-31	HLD-102	HLD-99	CL-167	HLD-74	HLD-96-2	CL-173-2	CL-117	HLD-80	HLD-28	CL-152-BL	CL-146-BL	CL-130	CL-160	CL-177	CL-170	HLD-47	HLD-38	CL-171-BL	CL-166-BL	CL-136	HLD-45	CL-169-BL	CL-131	CL-175	CL-150	CL-161-2	CL-144-2	CL-116	CL-172
CL-141-BL-R2	-0.167379092820755	-0.232968569758222	-0.163404307227895	-0.22618311702331	-0.200746319743503	-0.178423280875508	-0.183187775592493	-0.224289584734637	-0.249520934072683	-0.152687458777052	0	-0.433640637921797	-0.237363560370251	-0.213364247030958	-0.197464858435635	-0.240008398648609	-0.214024728599259	-0.347931485956884	-0.239040192885529	-0.18680082152473	-0.332221714785462	-0.362257330968667	-0.286885054834268	-0.214199151042119	-0.18389368020063	-0.19528658505827	-0.232341531192067	-0.232993661041476	-0.365196818156276	-0.29148271158682	-0.189181426383715	-0.225204462363017	-0.239447629054466	-0.271178777166207	-0.316928723550195	-0.304493711612558	-0.189012037091894	-0.175949895296167	-0.203042928268049	-0.282021321763002	-0.339415387293962	-0.196537932292402	-0.178035018746791	-0.218502664454443	-0.258365982552889	-0.219462067882663	-0.296289026678437	-0.261143980207603	-0.304154631969382	-0.226679901806045	-0.357053031813749	-0.257649515922356	-0.18396676009557	-0.206318767169385	-0.181042422240142	-0.169941896370598	-0.270044167128476	-0.178275676467963	-0.180949033731106	-0.171834762840699	-0.160784894100872	-0.211982720525439	-0.166473329198499	-0.185539589787801	-0.248614601120846	-0.136818212161505	-0.210794164909603
HLD-34	-0.400017519036746	-0.424533640542785	-0.449743101597598	-0.384744181559145	-0.418608141498101	-0.470257268565773	-0.42649185643689	-0.428936639825664	-0.309763867470041	-0.429326140296062	-0.433640637921797	0	-0.3952707917568	-0.427056110727701	-0.463072176541741	-0.359304988713619	-0.455193929407567	-0.253916189610005	-0.349408743392501	-0.411723791808493	-0.392812046694357	-0.321730055753138	-0.328609746703723	-0.371940989430921	-0.471010951956877	-0.352624662603512	-0.382509675554477	-0.356406948601077	-0.464897046469063	-0.403323703953511	-0.452010248274142	-0.387204204653765	-0.447907014750519	-0.450745853897543	-0.27573639216289	-0.468090584044195	-0.420973669220751	-0.441944304051657	-0.364982144521256	-0.351062976034961	-0.522685953600599	-0.406507274084127	-0.422240946121213	-0.464208770686014	-0.37363805981077	-0.366589823998042	-0.369117756580795	-0.379214662333082	-0.488358432643523	-0.461944775386634	-0.108731688302371	-0.413915896438012	-0.37938969923541	-0.413067820319752	-0.380121258983627	-0.427240863807578	-0.427314346686786	-0.397846313391242	-0.361679649006528	-0.387096563246243	-0.362970327510078	-0.354100533237518	-0.420190797406049	-0.390155678681387	-0.359158497174939	-0.413072618083699	-0.37366966183001
CL-128	-0.168585001113017	-0.232607088753158	-0.247241755382725	-0.243029081751912	-0.223159068857191	-0.277503710888658	-0.230153461388512	-0.200354190350575	-0.316280943821671	-0.143802184458909	-0.237363560370251	-0.3952707917568	0	-0.29826162277334	-0.277446257456377	-0.218609505878373	-0.264612622486604	-0.352536559752762	-0.317753745437029	-0.227222274195923	-0.303851608138128	-0.341303323361191	-0.282309801650376	-0.230758092709598	-0.289371920667489	-0.202997616341887	-0.292498308102763	-0.183022185722341	-0.378561312406402	-0.292272438386534	-0.294321166995375	-0.202068926701229	-0.259666368605366	-0.296148004420795	-0.341497150995193	-0.374990863090206	-0.224371001334842	-0.216610588798468	-0.189165826731417	-0.208543200907146	-0.397407083227921	-0.254641369006729	-0.234359450779789	-0.293769433176563	-0.32370576260267	-0.290699367148218	-0.247314148299274	-0.230471181186952	-0.344313757009914	-0.275910642562304	-0.316260856939652	-0.264552085150518	-0.200983744178466	-0.25927292668706	-0.167289660103042	-0.200112171916264	-0.262367223813231	-0.182452721570195	-0.187584530646626	-0.191543103909978	-0.200205350479399	-0.179658077755563	-0.189650868093252	-0.189284210887236	-0.218082941499813	-0.230899676289079	-0.215693108645144
HLD-100	-0.226554163642846	-0.333379580037535	-0.208753438327967	-0.256118163943773	-0.251868063701954	-0.28053516734672	-0.269149268972863	-0.301806886753458	-0.296516762335154	-0.250803641397048	-0.213364247030958	-0.427056110727701	-0.29826162277334	0	-0.273724222340353	-0.317561341695996	-0.235983306118396	-0.382186551950513	-0.306862618040418	-0.272886481254508	-0.315573614175807	-0.406686332024458	-0.351133098746084	-0.249452251751602	-0.261837851022103	-0.255392737556137	-0.2535063188954	-0.301772848739734	-0.410824008088877	-0.352075477633374	-0.280707357056909	-0.29632712811279	-0.251266344059274	-0.328173487006001	-0.356933452486083	-0.351996590935954	-0.26067372520119	-0.248791722718851	-0.247261965020601	-0.279948070061251	-0.316400928238111	-0.218384333673833	-0.271157089654269	-0.25372461395476	-0.309991490120332	-0.236146301939973	-0.282625823326934	-0.299161960378818	-0.307158962270461	-0.267415379938445	-0.368841959893798	-0.314585494081465	-0.246318412380238	-0.297976474212845	-0.256041683387595	-0.228052543974993	-0.310227591099167	-0.260023429693717	-0.266371142518898	-0.262581775696423	-0.23887100797098	-0.267487322784333	-0.25012442999319	-0.261529594531756	-0.29444394631135	-0.228797557908131	-0.279019333914198
HLD-22-2	-0.231254062889422	-0.258899701122794	-0.229830782863441	-0.255839625181516	-0.264348639777039	-0.103171715692251	-0.244400266261269	-0.23749526404537	-0.282114198066529	-0.223575707441072	-0.197464858435635	-0.463072176541741	-0.277446257456377	-0.273724222340353	0	-0.272490021344238	-0.285831830748902	-0.355354555634377	-0.278665367192957	-0.213571717433974	-0.36100531306453	-0.405887687372427	-0.330272439492963	-0.240548071218769	-0.222013648397611	-0.247137787587585	-0.274561050851765	-0.270709262786347	-0.376311325943639	-0.340182317212755	-0.231072628998853	-0.288779902760179	-0.297250672555493	-0.250930075498803	-0.362039533124377	-0.363710616385967	-0.240307374019496	-0.250691225637646	-0.23968420093857	-0.304998485176263	-0.325151553081251	-0.270778118869338	-0.247255875960616	-0.27149746170255	-0.338327885181805	-0.292658717173328	-0.338075984213333	-0.318943038324513	-0.304253225335328	-0.264863236949368	-0.398465240104201	-0.284124053027864	-0.23208439702666	-0.253774364452528	-0.238243856643632	-0.221412803991496	-0.256444555706572	-0.210473779288485	-0.217940095807052	-0.21312769320513	-0.233248627618891	-0.260231152021957	-0.214529073038185	-0.235393335604795	-0.299323779744114	-0.203066007794543	-0.251967258915908
HLD-104	-0.201512897287776	-0.271547092911579	-0.271031111485007	-0.210628488071438	-0.241475127260596	-0.262742390250518	-0.248612420914526	-0.27705848030228	-0.284932360495613	-0.243203263358703	-0.240008398648609	-0.359304988713619	-0.218609505878373	-0.317561341695996	-0.272490021344238	0	-0.292617678871869	-0.263889449629397	-0.326461899516085	-0.203935231137554	-0.290049780199404	-0.344624736585043	-0.242731234284268	-0.20452536501907	-0.307925905800393	-0.125941741807235	-0.196740380530003	-0.209548566386154	-0.397570130571076	-0.298403882209533	-0.300731570300942	-0.203211282105411	-0.305317647145426	-0.255418384894488	-0.29225845621859	-0.39941561863483	-0.253770993672406	-0.273818308419678	-0.24629668606131	-0.241523680592657	-0.393256173339106	-0.263624236027837	-0.228319823693488	-0.338852406122888	-0.302243709983241	-0.291021120490686	-0.269804391373111	-0.259219994277173	-0.372868395024931	-0.308615389752939	-0.299010920571271	-0.289716446078902	-0.21701333102939	-0.229999998018055	-0.168249340420245	-0.23635612473705	-0.332921376746242	-0.217991195267066	-0.183018925537937	-0.181651295825292	-0.178362201379758	-0.180096501682911	-0.21866545092653	-0.219352155926227	-0.210850702004347	-0.233682604010465	-0.194082651631921
CL-176-BL-R3	-0.235152115217621	-0.265954887809219	-0.167729688017428	-0.245146139637888	-0.1905423496006	-0.279420901999037	-0.253660936040104	-0.264949037067954	-0.27876157074887	-0.189759288240349	-0.214024728599259	-0.455193929407567	-0.264612622486604	-0.235983306118396	-0.285831830748902	-0.292617678871869	0	-0.386634459100806	-0.304619707768397	-0.239072505266341	-0.360125401191151	-0.383188327451831	-0.361900419610592	-0.248359212131249	-0.233905118338122	-0.245532549164985	-0.284649086868609	-0.285044301603109	-0.402141823790173	-0.357536893965116	-0.271028560852168	-0.229299013541524	-0.206196018417324	-0.329288691941406	-0.383675575787667	-0.309638374324792	-0.271277800801481	-0.119660755531725	-0.242087194707699	-0.310405980198116	-0.295388880772789	-0.247473787225106	-0.255404418055265	-0.193639815527497	-0.280535261794208	-0.258587674364398	-0.304760744700359	-0.338317386093391	-0.253710537487612	-0.283003977455056	-0.388890362773277	-0.287623731337496	-0.21915350086789	-0.270252392648758	-0.237597593239123	-0.178666598051693	-0.315503935103655	-0.218740726444985	-0.241892885829461	-0.250163958972432	-0.225765362383826	-0.272341324732717	-0.217348953568727	-0.20834595451979	-0.315968401350172	-0.196002122989985	-0.281990576765077
CL-151-BL-R2	-0.326956657408993	-0.40679055419696	-0.372111571490341	-0.290936681172161	-0.361182042760624	-0.363357750456042	-0.349289321705315	-0.387476396528683	-0.282173835329366	-0.373671440728567	-0.347931485956884	-0.253916189610005	-0.352536559752762	-0.382186551950513	-0.355354555634377	-0.263889449629397	-0.386634459100806	0	-0.300492065136129	-0.322711202849098	-0.387074042078208	-0.271159726155166	-0.30557457170732	-0.296550379522412	-0.391711302141258	-0.29918493000723	-0.305375655933963	-0.325033435079625	-0.446393140387962	-0.371929704258869	-0.393824004685652	-0.346846088880193	-0.398086219340293	-0.340057588398565	-0.216843574606879	-0.439026949594418	-0.358997971523682	-0.383121809098847	-0.348695801505853	-0.340637726747448	-0.433710141800537	-0.351659195164711	-0.343527104127675	-0.407524376788366	-0.307178998963381	-0.336784543914538	-0.335092249951029	-0.359598786113942	-0.396137692495993	-0.399693473400085	-0.246732735662785	-0.387342694162919	-0.326394747749318	-0.363733846163574	-0.311173963131864	-0.359405214464856	-0.423388573807013	-0.331313707299955	-0.294898169023934	-0.310117714938386	-0.296937900483755	-0.304031250481428	-0.336147082448934	-0.333351136499082	-0.330633969927436	-0.325865569244626	-0.302216008897425
HLD-25	-0.26054164192272	-0.285756126809996	-0.273781863078053	-0.295963753243718	-0.299711804098416	-0.281162528293676	-0.318716946000793	-0.275342015795294	-0.245547993417025	-0.25733945325734	-0.239040192885529	-0.349408743392501	-0.317753745437029	-0.306862618040418	-0.278665367192957	-0.326461899516085	-0.304619707768397	-0.300492065136129	0	-0.254473297800385	-0.365862123392878	-0.297723215239487	-0.280923332834808	-0.290155037994109	-0.282481709729012	-0.266129225246217	-0.300152991157299	-0.297612232876194	-0.357803021824163	-0.373723654315057	-0.283442381361258	-0.325507519378833	-0.340639692034218	-0.35063984377445	-0.242967415144178	-0.353689868409354	-0.264048115361225	-0.265532063642059	-0.260008461528657	-0.336906660499102	-0.369318447164339	-0.255264409022765	-0.288314240678911	-0.331363240818458	-0.314583437447441	-0.261946391003707	-0.343613811368577	-0.293180347378524	-0.345801061891499	-0.289488522767664	-0.285386598375069	-0.300575771349043	-0.241149724187523	-0.261998376025778	-0.261640721256016	-0.256770988488142	-0.29072913249691	-0.242355993856689	-0.229278551847815	-0.258489025641506	-0.242108431934787	-0.2718293693465	-0.27873901000503	-0.261962770682174	-0.280500745245728	-0.224450047274674	-0.273010175597151
CL-165	-0.177301800003268	-0.210058117685648	-0.196596638655358	-0.233627200857719	-0.168121856686151	-0.212659756437768	-0.208796859953915	-0.221428213389251	-0.239674005629943	-0.166806578905389	-0.18680082152473	-0.411723791808493	-0.227222274195923	-0.272886481254508	-0.213571717433974	-0.203935231137554	-0.239072505266341	-0.322711202849098	-0.254473297800385	0	-0.317598143323081	-0.372237751032738	-0.266950860399775	-0.188219095216705	-0.199899917369037	-0.155215881156078	-0.196821684403424	-0.210186879976268	-0.378774676125778	-0.308948351468737	-0.221041349072799	-0.189066239765956	-0.251212673043492	-0.265465224913652	-0.312202627187843	-0.329674188728098	-0.201773495226071	-0.195442803740059	-0.208992041659792	-0.27312712291268	-0.303172346507317	-0.246690149776835	-0.173181731019457	-0.252221933891108	-0.296704247629055	-0.240150230459961	-0.301841698160879	-0.285434366948633	-0.31762079623448	-0.238563441959806	-0.347727149521877	-0.258872826554939	-0.170497518417578	-0.178452268261351	-0.139251898406275	-0.144536170940506	-0.282472796465134	-0.154351331246465	-0.17150027121812	-0.142328206535387	-0.148062106872468	-0.208243646114188	-0.158300997160463	-0.175412459273202	-0.245767699687676	-0.140833453587397	-0.201382221424623
