rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Catenibacterium	0.200489966551976	-0.112565582477695	0.459293237432182	0.661397927846434	1.88887090978314	-2.57707336634987	5.96616452759777	0.314097235931777	6.44374061828044	0.301424782568947	-2.46643894043354	6.03553850779387	0.345231460097834	0.0241496601853613	0.131952422986981	0.0371502469517452	0.136638957046469
Clostridium_sensu_stricto_1	3.18188172185701	3.32499866009992	3.07455189218097	-0.103216943051663	1.87048374374984	-3.33296041491572	4.17685750878029	0.254825689849696	4.55836935054131	-0.0554039352928501	-3.73339377261535	4.76370961161874	0.47098214361271	0.900286429064994	0.94048237003295	0.651906481626331	0.755317209130269
Collinsella	-2.69347418640439	-2.87033904083299	-2.48676391087991	0.171279419424038	4.84400336190141	-9.19228328083993	9.29743348545265	0.923600348995291	13.8193893439132	0.0299412271726923	-3.47053915805744	3.77259332903064	0.486335750493892	0.724140104654625	0.833648827245846	0.747086972084809	0.82483232250424
Coprobacillus	-1.65001796906705	-1.99426537094516	-1.39575378779001	0.488529664656712	2.63951240199523	-6.26409244354095	5.36741058801087	0.424125332363807	8.53747542719829	0.162724615449158	-3.94233506725799	4.14412996209967	0.422433037776811	0.62310279203278	0.764919569013072	0.281175500647088	0.426551919558583
Coprococcus	5.66876598849163	6.08918007060281	5.54471015783219	-0.607928801342226	1.44895707127226	-3.00315056581971	1.90919615175732	0.232100581426286	3.22490178364978	-0.403532090350012	-5.12349197475935	2.23080699708048	0.345231460097834	0.0188684643051725	0.116059619676372	0.0354181812251941	0.136313281461633
Desulfovibrio	-1.0331627326864	-1.4586566305005	-0.673100223533252	0.862947898173463	3.65833122329664	-6.96817197431507	7.64720148748094	0.689736387932838	10.5443284383532	0.218526717127066	-3.36289228801614	4.04871083249178	0.401785716936692	0.340466272221261	0.545783501234989	0.210950830002055	0.358872086664792
Dialister	4.95649759266778	4.84817331573832	4.9611367629115	-0.0560638257983492	2.49895257113794	-4.56666846139218	3.85759319531718	0.352276753351789	5.25123993512376	-0.0223728780714174	-4.20470074639575	3.43356918880549	0.491355270720525	0.722209924255844	0.844269652834915	0.935883908268249	0.960770382457227
Dorea	6.47506110311006	6.65387441545445	6.32650949034274	-0.376346055633949	1.17210992442722	-2.59075393867286	2.05860974481173	0.188669860044148	3.03698723737804	-0.2981380629424	-4.6656174952102	2.86069642312215	0.355468754092598	0.0816372023553311	0.264770940598119	0.0568159768569187	0.174097853794913
Eggerthella	0.540630600252063	0.894929482749496	0.343351165119021	-0.370020853428599	2.02172292179034	-5.7108851047769	3.35048287752591	0.339611280173197	6.13118876346587	-0.16187013759595	-5.1111078495766	2.72640364811318	0.416062467381093	0.178851702169269	0.381161313275085	0.211097776139465	0.361468842902137
Enterococcus	-3.08710767139829	-3.34227117255308	-2.86734260651081	0.635935780471928	3.05213339018501	-8.04178550598018	7.28381307491854	0.508889227226781	11.3689851658494	0.167897181839172	-4.13573159199768	4.70884057480984	0.39285714577135	0.509073524893441	0.673940434376992	0.226514233682396	0.360106701994477
Enterorhabdus	-1.84394416936881	-2.35041067434716	-1.29700870995551	0.986060012930558	2.52084214043889	-3.75472690499641	6.4662347783071	0.495211556435201	7.56565539255241	0.3506840145384	-2.36988405301522	5.36948167681298	0.349888397138481	0.0464296606952804	0.163947033925299	0.0360024601821374	0.131304853149484
