rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Family_XIII	-3.02847143954179	-3.05237589175879	-3.00861614462849	0.0693545330478975	1.90148525400219	-3.94185481694337	3.65498839319233	0.155356926835781	5.09462923445513	0.0329105245230708	-5.57161857760194	6.75016858886149	0.46780000010778	0.866472825718332	0.910434805896891	0.774191896338955	0.92555615713777
Lachnospiraceae	5.74101787296133	5.96613898548985	5.7060546584116	-0.14300136561076	0.772391713318304	-1.45010520892558	1.63932833642818	0.0669906190579877	1.9823275283713	-0.169028781477075	-4.54864088763241	3.95423154498183	0.413917216852278	0.806230583098391	0.88911560492538	0.556666976985863	0.884032322602077
Lactobacillaceae	-1.13616516218145	-1.5499463681985	-0.268122460907132	0.754109552874588	1.94941090181466	-3.18333656860004	3.49171746207472	0.220433125673399	4.27226939972052	0.364807045446529	-3.01856540304964	5.3641663145206	0.332400000629384	0.276570458257662	0.657239062281973	0.218728701638918	0.641721035809215
Methanobacteriaceae	-1.10075609112758	-1.05610059026486	-1.10075609112758	0.196699895674107	2.06316146659423	-3.26936513909914	4.25435454762674	0.265687703329022	4.60359438703617	0.0853470594446824	-3.609268452065	4.171465135418	0.469200000103058	0.727328623108005	0.884180791614855	0.856058953430471	0.955611131118598
Pasteurellaceae	-3.11853434939079	-3.30906210132173	-2.95805021555514	0.290947810051183	1.62972738712767	-2.88242719083782	3.002556055	0.261217144911888	3.7612014794839	0.170297133509047	-3.1492993908469	4.35747883843967	0.41811637700501	0.634769282951144	0.862665349470596	0.589364058542077	0.874673822138521
Peptostreptococcaceae	1.14916631133074	1.52718557757088	1.084522846285	-0.242463005783025	1.15467979610144	-2.19880440425726	2.05654874047531	0.0990516401804279	2.47392268000365	-0.193955851007956	-6.23637388455505	3.85020665859702	0.434200000223199	0.658145695156465	0.878720799240173	0.666360064084522	0.909882149664703
Porphyromonadaceae	-1.46992238505331	-1.88437120322721	-0.875897764773589	1.28402077073558	1.67503467618869	-1.6985584356674	4.91434692200996	0.212124618415934	4.49834245360115	0.649149588953506	-1.3724598796613	7.71103996930731	0.210957809884786	0.0283325073689778	0.250115038252711	0.031642025157505	0.285394218139961
Prevotellaceae	1.07777874807081	1.44496566091321	0.734593921094611	-0.582757671883314	1.03541044941908	-2.22662806997644	1.42066771275232	0.117041582717056	2.25885221074868	-0.517640169209957	-6.87843408423617	2.44541046462352	0.323735253620072	0.130433842422053	0.610425844037683	0.207822901556648	0.634579539384173
Rikenellaceae	-1.19823795564863	-0.218601570418598	-1.62298530621434	-1.21160789837668	1.49601853005962	-3.64120012039639	1.49732452715978	0.18567701985929	3.32170389484123	-0.78915039196099	-7.95760131480439	1.40315671962821	0.204400001514773	0.018351300859983	0.240165213809809	0.0287335729286194	0.276113044592147
Ruminococcaceae	4.38749761889668	4.78310462801601	4.33617196253571	-0.355821947949771	0.980281903934378	-1.80598548491581	1.48874148199188	0.082269452857818	2.500940593657	-0.305314627599058	-7.36097861873118	3.35599530619687	0.380723855650363	0.325770100801189	0.672179183909279	0.398771049384053	0.799423182556736
S24-7	-4.60574395587473	-4.67996528126697	-4.47404380436244	0.407503102829786	2.17214881404965	-3.38400572289853	4.24354777687664	0.337439151431266	5.01871570933361	0.175673011881126	-2.87394885103093	4.38948527045784	0.420315937085064	0.539351008146046	0.825269344838137	0.579935612375241	0.870139474056531
Streptococcaceae	1.78869590706102	1.56290914534218	1.93757282197083	0.339113879238045	0.991262522359317	-1.38442963824837	2.11868632867981	0.122758662059361	2.36393613018941	0.324580672944188	-2.45668238013699	5.3751127965523	0.359328134882134	0.279781576223499	0.65789817230918	0.320385492216762	0.715885090189898
unclassified	0.977721670617894	1.12032261674116	0.817322665503029	-0.123771145251373	1.06834801623844	-1.54687399435599	1.68788951570816	0.107864693954422	1.91053104510907	-0.116775119881629	-4.49892765670741	3.89230275646852	0.447800000175917	0.751919746448525	0.883437095208918	0.722139881790037	0.917071978253301
Veillonellaceae	1.58752531626469	1.60053659112007	1.55085838784032	0.0429596689313123	1.1975498054563	-2.35285222133666	2.09008547885929	0.0860454130294938	2.92355538506283	0.0364278632220017	-5.36670747281879	6.11250520757554	0.48470305943914	0.781961213726984	0.889366753941039	0.925394336313841	0.970783414676532
Verrucomicrobiaceae	1.52533276183878	1.56562179613549	1.21482087800271	-0.0056237454488719	1.08604439101063	-1.56044163756304	2.13536038929775	0.104614009801259	2.58989095618452	-0.00558888526401418	-3.66852558779151	5.02093301339325	0.49700000001	0.843367203651358	0.898345606648917	0.954005336768495	0.977457423789321
