rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Faecalibacterium	3.20251448183725	3.46629012315682	3.10497291731554	-0.30194335726864	1.32225195581095	-2.61936611796388	2.19357872996823	0.171538980649339	3.27641131923401	-0.218147712484104	-4.75494975208147	3.52085547387902	0.405600000326298	0.335487710366971	0.675255120983196	0.18150509645985	0.478426125764547
Haemophilus	-2.59990790263139	-2.60992624137862	-2.59166250686704	0.124569368113136	2.0079323785553	-5.31786682794305	3.34560100977753	0.348210059226863	6.40348659894228	0.052741737453614	-4.71835189836404	3.3979958094384	0.472800000090936	0.705593829246573	0.876224490786169	0.704354338856597	0.848571730779032
Incertae_Sedis	4.88117518283853	4.95552516318332	4.71704802578689	-0.239139047884838	0.788550841376307	-2.04671599805098	1.22585601810176	0.123622159286234	2.07680392403548	-0.26473891673528	-5.47435422925681	2.68540475682847	0.37592481547754	0.0714333521110355	0.435685727729622	0.100678659462551	0.4591307534001
Intestinimonas	-0.52851491153412	-0.684414006458372	-0.474418400908045	0.361377427666232	1.54233379643405	-2.10937633855002	3.31231026065216	0.24330985030495	3.21835154038919	0.231447447841136	-2.52828918702783	4.90987254663606	0.399120176315202	0.0813306763870998	0.442522749421713	0.158420244040763	0.471494133225511
Lachnospira	-0.0898723050242332	-0.130935451341248	-0.0889300655730354	0.0036320526018363	2.34424871047788	-3.94596795571263	4.46787644913928	0.393910292099464	5.51050251202189	0.00163663463873507	-3.41739575707315	3.8051149492375	0.499600000001334	0.857160854310462	0.921679806794913	0.941230492257392	0.957730149242083
Lactobacillus	-0.222047875802913	-0.101361603088771	-0.222162737263492	-0.169123512324067	1.81110817849538	-3.38937760311081	3.0177965769161	0.306935342623631	3.81030454104473	-0.0871349469313445	-4.01064739945783	3.32899265120798	0.464000000120626	0.492253202547676	0.780461593113157	0.679869480519963	0.842247550097438
Marvinbryantia	-5.2011179547953	-5.01315918931008	-5.29229857942171	-0.559742047193228	2.93365385560424	-7.84972871397438	4.0255432409503	0.52202956631366	8.52478762788582	-0.175625016847815	-5.0377498289856	2.59295299059937	0.417400000283058	0.103757125309035	0.469943534249323	0.245576860257907	0.529354521570579
Megamonas	-0.795109001715347	-1.57554245573861	-0.225881082968416	1.21127245770465	2.98922539560992	-4.96674116666872	6.85867667458146	0.517133323510359	7.19985806970977	0.378186493942193	-2.72323777806084	4.86940476701598	0.335400000615355	0.0393041378930934	0.400806774171835	0.0310374415947726	0.40917352580553
Megasphaera	-1.54278031749002	-1.67845613036499	-1.4557310573382	0.14937324026725	2.06365533497399	-3.61338894759426	4.34968117513957	0.346418284400397	5.09592511044535	0.0652549485666287	-3.67796617430444	3.89460206422605	0.46910617886758	0.794987716401733	0.905631294200448	0.797776046329152	0.893503716179638
Methanobrevibacter	-2.5716787503478	-3.00849826692565	-2.08249783094624	0.633582377671224	3.41415331339573	-6.45626219241741	7.5348521125495	0.584287905681751	9.10145718342601	0.165441261525953	-3.30806263273475	4.29686433587723	0.417000000284507	0.445502494898195	0.746079736359936	0.265050657527209	0.532224520865137
