CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-137	-0.302948007279678	-0.312484492119431	-0.300649474013642	-0.36611444414716	-0.286599497787474	-0.343773844743774	-0.358927101664803	-0.274376448666826	-0.320242291396572	-0.30027561139294	0	-0.356342103836822	-0.328103208810954	-0.348249079775844	-0.291458168130437	-0.413480969240595	-0.356304690199995	-0.312010881286613	-0.304125884794356	-0.221324085678128	-0.301292507763021	-0.349346361288516	-0.242546744470577	-0.3089352743477	-0.319275828245335	-0.409989539541985	-0.451700390636721	-0.274222487708479	-0.292947044261083	-0.343446365431598	-0.26789298362145	-0.382211759415094	-0.274102636868521	-0.397495922726444	-0.37180278240719	-0.36940583310129	-0.323046258802573	-0.462009658627663	-0.303104269765054	-0.360256826523857	-0.355362267806835	-0.375856454804125	-0.381893288604784	-0.211706948234598	-0.256173027060005	-0.352267137969927	-0.379605086556007	-0.259026783509485	-0.414218133038741	-0.281035128016561	-0.321858992680032	-0.33985211225896	-0.273641830331091	-0.326782000777485	-0.362194026766382	-0.326071499867619	-0.379076896898464	-0.289055808672467	-0.26836811535627	-0.332652711832401	-0.349018776010114	-0.325018452221463	-0.379743241907253	-0.384649033050391	-0.456735041006319	-0.317214514132511	-0.336405594314333
CL-139	-0.287740401094012	-0.349332613259255	-0.292118117038839	-0.300132215467861	-0.272391334118572	-0.28476424714029	-0.325076207220174	-0.263862064477142	-0.243273654082153	-0.259871429634229	-0.356342103836822	0	-0.298233891202278	-0.316124409639334	-0.237531937511525	-0.370658070856969	-0.304057753837077	-0.294255615571338	-0.249248968411452	-0.37849523228729	-0.220913400128133	-0.271637958772228	-0.339411568189326	-0.26657827641675	-0.304881658113024	-0.330686977594598	-0.427758043390404	-0.230150678551115	-0.274265782989892	-0.295416127726738	-0.206541058106681	-0.358431154148442	-0.234929215810792	-0.352787037047535	-0.282577368937993	-0.351450492599627	-0.272192790231165	-0.368753550864376	-0.295061035409071	-0.317727599980972	-0.283258064375301	-0.33150736685868	-0.359164452036841	-0.392034519032099	-0.3840031142437	-0.277497690182493	-0.329243591528029	-0.430302309818283	-0.332845463737296	-0.248907447118025	-0.215768801239614	-0.33466942172712	-0.24704808137481	-0.295555825132669	-0.266234715787679	-0.353555864827844	-0.265018476087929	-0.336078787468643	-0.266716834370894	-0.295799802915709	-0.268704041058501	-0.37939828831129	-0.33316392558123	-0.290276632038214	-0.419581279538343	-0.304829921942194	-0.254730227306249
CL-141	-0.131313564255328	-0.251340024023047	-0.200761008392436	-0.172175215242332	-0.227409328011971	-0.252379472070002	-0.230399421383199	-0.160722723142762	-0.229454624371054	-0.175317313575955	-0.328103208810954	-0.298233891202278	0	-0.19618425229078	-0.253325417976709	-0.317175788823425	-0.170927791966147	-0.175987112929606	-0.161264311593434	-0.356643979151076	-0.260290477091852	-0.176345189288468	-0.375472838364706	-0.186237893012962	-0.190063475103922	-0.290148640172853	-0.349652214910742	-0.169974324421201	-0.187107429933298	-0.16454235444142	-0.214794495717908	-0.220674629587517	-0.215063179666972	-0.218362058263985	-0.265435478931477	-0.209539238345149	-0.202836800737046	-0.376621864812847	-0.245834116559745	-0.149546633945186	-0.199940410019217	-0.207776354480342	-0.336509413191688	-0.367365393336043	-0.251286922053846	-0.290109771247026	-0.17763464115735	-0.460513509919594	-0.244644461423281	-0.18122087555621	-0.181306762494847	-0.229023920378159	-0.181776582420742	-0.204588224395792	-0.21733735157189	-0.223890988888889	-0.245185726882697	-0.26897311557143	-0.282335776525394	-0.192328237915765	-0.21335906563526	-0.212820333487949	-0.181497990514932	-0.290725308238257	-0.298400829677067	-0.160628670897983	-0.289355702527444
CL-142	-0.194607767909935	-0.310723540616352	-0.221736077251693	-0.255867883735138	-0.286474771093355	-0.237966518499709	-0.213160672734578	-0.180828327556489	-0.208209180858137	-0.182052546104745	-0.348249079775844	-0.316124409639334	-0.19618425229078	0	-0.229057161077934	-0.379148078950156	-0.225803062991734	-0.206878411250468	-0.186298925603877	-0.38006601619833	-0.251405441903025	-0.250856326755093	-0.364788088134981	-0.206903046964947	-0.223341565822394	-0.24329938402464	-0.392113854298849	-0.180629768992925	-0.182284940534952	-0.203876047615188	-0.210506044199487	-0.280361809358464	-0.195166632138306	-0.293938175409589	-0.251729569857877	-0.271513430386636	-0.207466684551541	-0.33814132729885	-0.272338750443524	-0.21164037039938	-0.234575671836601	-0.248864837880828	-0.338910978708726	-0.36686802979247	-0.259049725356269	-0.279063849863462	-0.23683074184319	-0.428297941519768	-0.292670027903075	-0.172110327729596	-0.23585302332343	-0.258090791545285	-0.180646802622835	-0.241196160047633	-0.210600024625428	-0.258101193706675	-0.266078742463091	-0.313387872249967	-0.253879291333361	-0.242955799022118	-0.220321575993962	-0.247350328836075	-0.263630343134555	-0.300541649904602	-0.306155100684722	-0.192327476177242	-0.274670743650995
CL-144	-0.205502059799362	-0.333825722095159	-0.197116411506379	-0.269907906228119	-0.221062727645509	-0.216143886130719	-0.261784008601202	-0.162587219322933	-0.18313026366799	-0.185827557283301	-0.291458168130437	-0.237531937511525	-0.253325417976709	-0.229057161077934	0	-0.351116948109967	-0.292715465996092	-0.219905509605219	-0.174705387119143	-0.341592340193048	-0.155207585775423	-0.264032863631038	-0.276213818360672	-0.180891709143987	-0.252549849060558	-0.226795385452084	-0.383667316748002	-0.160695946210484	-0.159276875472074	-0.208355077059963	-0.142634976834785	-0.329934173407621	-0.115042235172558	-0.324935166656011	-0.201876965640873	-0.289492029484587	-0.211134266410877	-0.367733801025266	-0.219699734673899	-0.263170265464343	-0.251580740035992	-0.30998218326223	-0.279084140171549	-0.398480557084386	-0.290116519802219	-0.241269019667503	-0.293954255579768	-0.378394986431361	-0.27823266313948	-0.152969623387706	-0.25454383859701	-0.269623428576091	-0.149550755910663	-0.2372903241082	-0.248194323625843	-0.281006083319576	-0.23763460361542	-0.323044788782895	-0.21100829019608	-0.234433329414852	-0.217100084500473	-0.294345534492064	-0.302569600613823	-0.283511529309655	-0.394356566155782	-0.248434499430087	-0.23277806095153
CL-146	-0.270573174694396	-0.362193995879926	-0.345125891736346	-0.285302477047244	-0.239655801434755	-0.345067334270646	-0.366293192068575	-0.3207635179637	-0.352558390515189	-0.27432740607972	-0.413480969240595	-0.370658070856969	-0.317175788823425	-0.379148078950156	-0.351116948109967	0	-0.318225407226339	-0.33915556559489	-0.292184989288605	-0.394616180809093	-0.377843912013127	-0.309939319333831	-0.434934391714738	-0.264373524747965	-0.311972090955236	-0.345181028519623	-0.201073190032322	-0.303817485610981	-0.296688520774765	-0.263627614931088	-0.33216392616387	-0.239915329828003	-0.333060505498381	-0.258956241639452	-0.319048302204284	-0.316641881154972	-0.295311617828476	-0.464505740395093	-0.362696278311736	-0.317605721095744	-0.306056020555994	-0.300585484280382	-0.422641581422111	-0.434967957171181	-0.366736713332339	-0.365714546327325	-0.313044194752188	-0.516398352255682	-0.310988640437556	-0.32648451760613	-0.325053770111126	-0.341818550813896	-0.307507498639598	-0.326076803404698	-0.31134599193713	-0.364720190375334	-0.324519944789886	-0.350835759462275	-0.375445039176865	-0.350228020612713	-0.345941008188016	-0.358911290113741	-0.27663438151646	-0.376555328291309	-0.417506986712915	-0.331908688010583	-0.353069367933177
CL-147	-0.160413217933765	-0.295489774387377	-0.240965239668536	-0.20354631941627	-0.293295886364106	-0.294147914624272	-0.258834607949605	-0.202664797389968	-0.239074555951433	-0.208211549615457	-0.356304690199995	-0.304057753837077	-0.170927791966147	-0.225803062991734	-0.292715465996092	-0.318225407226339	0	-0.222802720747326	-0.190372063858121	-0.387929159554108	-0.304433359121269	-0.116903371899075	-0.398562909544939	-0.228054520878347	-0.192443473376227	-0.317258496819884	-0.341593776202316	-0.208833308621754	-0.208434252680537	-0.192440980473256	-0.25765391962247	-0.204613495284764	-0.238116283884271	-0.228625960822112	-0.260289709054224	-0.256639111673285	-0.229443266962474	-0.336413307467499	-0.301463433459811	-0.192200491575361	-0.206038142956186	-0.228991900942193	-0.361762654092976	-0.425408260632749	-0.271204296784943	-0.28591452907471	-0.183010039041518	-0.475354684975683	-0.266052525052113	-0.21938954376718	-0.172679086577069	-0.269192716250027	-0.22217292556015	-0.219259438060311	-0.243241522994975	-0.256566006778899	-0.262332412768552	-0.229071605322412	-0.299996140894917	-0.234400630270514	-0.232195908560473	-0.234597596194624	-0.24466196090437	-0.30800263426222	-0.295762700513192	-0.215874657038981	-0.287807474851947
CL-148	-0.161862716677326	-0.263447730577385	-0.126310360482017	-0.189538788735044	-0.220461688336523	-0.167364971693266	-0.242578566373171	-0.126658663988196	-0.182598856232618	-0.152525909373267	-0.312010881286613	-0.294255615571338	-0.175987112929606	-0.206878411250468	-0.219905509605219	-0.33915556559489	-0.222802720747326	0	-0.145187992416002	-0.325697696594893	-0.226104481461151	-0.228069097158682	-0.331310352755699	-0.171084020185953	-0.173364382573097	-0.296575238151682	-0.354541996444567	-0.147546012894729	-0.157640437362363	-0.163252505493303	-0.198984442888986	-0.267272128907917	-0.160859842035306	-0.236268114589995	-0.255683756065684	-0.219194404202064	-0.185458441958922	-0.392186777186477	-0.200785508674001	-0.132134937733077	-0.168006751502715	-0.235059242027104	-0.289115576704196	-0.369737792189546	-0.27438063345502	-0.24204590631742	-0.182878633372494	-0.415127681082542	-0.247009385414368	-0.127631764886457	-0.176342868425588	-0.180090956314909	-0.151328108474146	-0.194877056796181	-0.182937210742415	-0.189197304687489	-0.205723932189637	-0.255776159482185	-0.275285338257458	-0.162632419791438	-0.176889104837936	-0.203244156482662	-0.23334866920181	-0.280946842801635	-0.3254287107648	-0.171071133150364	-0.213014936445175
CL-150	-0.093066584960702	-0.249331174913491	-0.148817123163211	-0.173287360145607	-0.188289919079201	-0.193327508744192	-0.197215469949358	-0.0942332692236882	-0.168062617838898	-0.0970364236384246	-0.304125884794356	-0.249248968411452	-0.161264311593434	-0.186298925603877	-0.174705387119143	-0.292184989288605	-0.190372063858121	-0.145187992416002	0	-0.33918825142141	-0.213578617291703	-0.200970873512459	-0.345158546029188	-0.114711695181457	-0.144335699728889	-0.24265628283707	-0.32874310546869	-0.083086693729318	-0.114997750573185	-0.0945848363631124	-0.131270778453149	-0.214289266828387	-0.148710854976631	-0.203847889098141	-0.201873782236365	-0.233015079565171	-0.160065795484782	-0.368580735955213	-0.219149839843405	-0.148638743845637	-0.149384869304404	-0.209540487029454	-0.332469295294569	-0.379259431396017	-0.284173542765419	-0.241774862132736	-0.173644795716524	-0.445468785573846	-0.222763866890634	-0.0917887390017798	-0.148177480058323	-0.195477642912544	-0.11540867334325	-0.180668354081627	-0.194077190692403	-0.230278204776657	-0.201230581978014	-0.266420231750861	-0.238430455385999	-0.206375607141653	-0.159433769131139	-0.253051879601315	-0.207261698582909	-0.2367262579077	-0.32391141975316	-0.162046400713728	-0.244447921052606
CL-151	-0.330921688266233	-0.294793268996778	-0.300710671461864	-0.381279091119446	-0.293529011519289	-0.347751877299759	-0.418724414926279	-0.299169145025318	-0.34645274469065	-0.327250635909461	-0.221324085678128	-0.37849523228729	-0.356643979151076	-0.38006601619833	-0.341592340193048	-0.394616180809093	-0.387929159554108	-0.325697696594893	-0.33918825142141	0	-0.357394169327939	-0.397498957955093	-0.241377842851397	-0.335444114251044	-0.322565257150398	-0.445715361221094	-0.432811558055543	-0.312242467599009	-0.334618670587452	-0.3624445469792	-0.313494925875732	-0.417342137712882	-0.308744531981393	-0.395155733458332	-0.402591443368886	-0.397303097734184	-0.373064324246344	-0.486113165647945	-0.253862038437778	-0.373557228202759	-0.3627470679234	-0.349458605201662	-0.387663966561085	-0.268316028083612	-0.306886347999628	-0.336078384242538	-0.395363029103369	-0.275149928462271	-0.414357566167168	-0.309966881913353	-0.353209642820545	-0.293250223857603	-0.302685148082673	-0.377640913715605	-0.382553321634756	-0.311328626898839	-0.413564833940268	-0.284498477350879	-0.30018557814528	-0.36287604099154	-0.347223097569342	-0.349857246200701	-0.352799698912798	-0.33586998027826	-0.477209445396518	-0.344906568225779	-0.33856475344023
