S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S10	0.0823548297032041	0.151307402440601	0.126115631552549	0.155587230223129	0.109525989710175	0.147610335796587	0.121427308824053	0.149384852832513	0.140673417035239	0.118601573142769	0	0.122642799901811	0.104603438228256	0.136354863432145	0.0845041127446051	0.0953117397325045	0.0957302284386186	0.140820200387383	0.134585967886301	0.111884517104633	0.0792286566075307	0.161742137253053	0.123526623064724	0.100751468301979	0.140995715799947	0.149988850711337	0.145002589008488	0.16689392060832	0.107506000940663	0.154098784571383	0.142441687971073	0.135227442365673	0.12481519351355	0.164721526996582	0.0733104767710661	0.0810044228634746	0.170985116168093	0.0848751310900257	0.183952644567548	0.0721249669737458	0.177839586408236	0.085662764311533	0.151166240578539	0.145058803909309	0.18393015860722	0.0816277836525819	0.0815659472616785	0.0340949619581274	0.0813273462381925	0.143437316325619	0.107080641524448	0.168514158971992	0.0977858199786508	0.181909545227698	0.0909232298083884	0.150431699207807	0.136101896378449	0.142256178798363
S10L	0.106283014542795	0.165953882544586	0.147766488298868	0.175060696477637	0.135590340780975	0.122341737877413	0.0954816336549867	0.171059444759179	0.154155624082214	0.0982024348547376	0.122642799901811	0	0.142860176677187	0.142808958656439	0.078618412628615	0.115242420513692	0.0901680763073556	0.174199983885062	0.128313009564653	0.102177452952813	0.0716827430872849	0.208829612011001	0.0860943698278387	0.127976344769734	0.123299889631411	0.096512864780053	0.127584089684004	0.178774627591897	0.106570959757002	0.165106286762203	0.0937052427890336	0.115466655506968	0.163514155848942	0.165049447251372	0.116867655757436	0.113758347132009	0.134076286118855	0.0787758143509146	0.134985093682132	0.131409825989898	0.168738393965268	0.0911711999820112	0.114321120750232	0.0993891938720761	0.186268073871377	0.139232441744186	0.104070021280463	0.102314242544811	0.0685122226809636	0.115051914460908	0.158525395706056	0.206286200053841	0.116728367725401	0.186849585789872	0.129309887139217	0.106620928557732	0.171271812162281	0.160156877049892
S10R	0.118373590489438	0.0528938494027791	0.10815809379019	0.108283015792015	0.118046919454665	0.0491780444584912	0.0781081062511594	0.131673411413749	0.0506571209601005	0.0713160970119282	0.104603438228256	0.142860176677187	0	0.172181244335568	0.100680262760939	0.141238064483488	0.126763352132013	0.181566009722679	0.0964472807290948	0.113966966875057	0.12663655630016	0.163202475454388	0.116553476922846	0.132704017928806	0.171640332067665	0.181810232236248	0.108477894114862	0.170301792818109	0.140345496780448	0.200859588294559	0.0957595851090475	0.112126865788174	0.169017594639347	0.213902069895109	0.113083143712145	0.175551639944809	0.205772146016331	0.101042536566231	0.203937666419529	0.101772705666899	0.211381143898279	0.119223060101849	0.113238671604417	0.104945099903248	0.169590362017715	0.112332362481176	0.110551599345159	0.119271779682561	0.114937610829239	0.163332394336286	0.187855207904565	0.164780240337439	0.12755098535352	0.199291192561644	0.0924360352504905	0.112761469557445	0.183511045291096	0.224720939863173
S11	0.0990469075870753	0.170805228485464	0.177424845362177	0.107247412396885	0.103484761701912	0.19175152514149	0.179567257693478	0.157822084835781	0.19460849132323	0.137016325431809	0.136354863432145	0.142808958656439	0.172181244335568	0	0.141533505017805	0.138005083076254	0.134413575523782	0.0687364576742397	0.166486050272361	0.201548533134624	0.129659668744328	0.103192444217642	0.180303672894237	0.113517247668487	0.055703969833835	0.0923960602099065	0.147554745505775	0.151539757363996	0.0918832553924144	0.0694641283348709	0.171140019450356	0.191573511288889	0.075966943139877	0.146821453355061	0.102408558656189	0.176783370882805	0.115995700184697	0.108026925688273	0.141908895633289	0.170710912374086	0.0943717016687706	0.103826423376904	0.19098013178022	0.143984474693613	0.182638465108348	0.174319909006814	0.112761469557445	0.126296143845187	0.107533483781064	0.132083155579735	0.178667194670328	0.221799638850493	0.128760230331187	0.0786640091592812	0.167907662653131	0.167765876181059	0.106504126486025	0.147301778452079
S12	0.0911774460821025	0.112338608581267	0.0846958680174066	0.12480082748334	0.0994129290524229	0.107780829344678	0.0762573867941204	0.134238684721227	0.118093140595341	0.075524094643407	0.0845041127446051	0.078618412628615	0.100680262760939	0.141533505017805	0	0.0706927362228209	0.0635884219790269	0.129650299594191	0.0984016854476486	0.0889269762192231	0.0349919019312317	0.164262438639874	0.102256778423972	0.105911371587365	0.12987953146754	0.148734009203004	0.0851143567235208	0.146920766346512	0.0977789492685504	0.157803346535507	0.0904110496009054	0.109365464937829	0.12217246856494	0.163482925348486	0.0871886865638267	0.139738375851578	0.166174994487817	0.0635016011877584	0.131613448852873	0.075906980579001	0.168324902139227	0.0872986179254328	0.10255096973827	0.0917914377210729	0.182895179822099	0.119391080194304	0.0938376601109682	0.0829338431816635	0.0662686235281846	0.121649045377293	0.12615060971306	0.151945129259918	0.0969494671764317	0.174155011964405	0.115787080441649	0.107306750347752	0.13687953583981	0.186188123790208
S13_T1	0.0529844178541024	0.135362358127644	0.0854710090387314	0.142296778448956	0.085857018024371	0.146453558059687	0.117139985721415	0.115477273877123	0.112648415145793	0.11098632791151	0.0953117397325045	0.115242420513692	0.141238064483488	0.138005083076254	0.0706927362228209	0	0.0930781343398716	0.11104379203235	0.104902001812618	0.132561606846725	0.0644816142920764	0.108241791531413	0.14242232506079	0.0939157363621089	0.128678406419992	0.154563494418173	0.100181823973656	0.111362343137004	0.0772811225990772	0.131751487664889	0.134975099921986	0.127783340276915	0.0952061806409623	0.107665901102999	0.0835915575212727	0.139321760975491	0.161897040535316	0.106531609326427	0.110757096038161	0.107439167669686	0.156677799299063	0.0960162998227981	0.135354862807535	0.141807084201802	0.165191858333453	0.136637187156269	0.109824553294537	0.10075084369197	0.0819619500074641	0.0876883745711272	0.0916577711791201	0.128359230705328	0.0774485180815229	0.141526009697695	0.141877665132833	0.126156855813152	0.0997033727066663	0.130388588624977
S13_T2	0.101218051978796	0.140294278759699	0.120887645776169	0.120805197254964	0.087259892104867	0.124021314191951	0.0951062430395022	0.139274915224807	0.121601575016599	0.0977883184186873	0.0957302284386186	0.0901680763073556	0.126763352132013	0.134413575523782	0.0635884219790269	0.0930781343398716	0	0.122476653639384	0.114660908595196	0.109337357487419	0.0457732952987478	0.171506040915703	0.116588455083357	0.0879869381554892	0.122740863673244	0.143476666756194	0.106661528208325	0.17386581753018	0.0926939991842593	0.123159352379358	0.0861843136691528	0.116525369472436	0.103394817860598	0.174283057016275	0.0766171621593768	0.145110646540067	0.180524160227458	0.096806431484342	0.16295825294082	0.112880770069188	0.159638450742318	0.0548669924216068	0.137383596117174	0.0915896886881254	0.169481679876127	0.113456660497602	0.0814822495204557	0.110775834338435	0.0834685093494749	0.129412323180714	0.150769613222744	0.193704680640025	0.0848701342099527	0.136126880778814	0.129320505509373	0.123678403296941	0.156100659650631	0.179195614738048
S13_T3	0.127353608590636	0.17393015236112	0.178469817907444	0.108219930181093	0.0874691364579241	0.185150021955042	0.152298658525083	0.144371108289262	0.176868942454055	0.161462936578974	0.140820200387383	0.174199983885062	0.181566009722679	0.0687364576742397	0.129650299594191	0.11104379203235	0.122476653639384	0	0.151196221858977	0.199176888929974	0.123439177663446	0.0888695120983836	0.198564146511022	0.100199937663921	0.0617183396117049	0.128925127373596	0.143284286873383	0.125816443358178	0.101735229066352	0.0444029009387264	0.15283707235295	0.187341778477063	0.0484697367081429	0.101480388182628	0.0821993018109318	0.16192952025579	0.117567843577666	0.146859554565618	0.125192457959062	0.166396731041056	0.0693279633528815	0.110321742861801	0.18203009495946	0.159325521127746	0.141778352141382	0.174149390474323	0.116152477296988	0.145915768841829	0.124216192514799	0.14467966563377	0.137788343403088	0.185330534247679	0.0938888781317165	0.0461436890341593	0.176981372255698	0.167251822143549	0.0899625796143533	0.136742746247812
S14R	0.121293017672091	0.111085016292952	0.151441068982554	0.111304879016164	0.105945725137867	0.0902611431987153	0.0601343286285626	0.175262445510584	0.109902629545677	0.0572036584657455	0.134585967886301	0.128313009564653	0.0964472807290948	0.166486050272361	0.0984016854476486	0.104902001812618	0.114660908595196	0.151196221858977	0	0.084991308551723	0.106159341760988	0.178769006101815	0.15617998512179	0.114732738746245	0.1624298328731	0.157281797177887	0.105337354988979	0.175309915871278	0.130296770953636	0.158587232096959	0.0622267721591331	0.0816409004627736	0.13863656379548	0.143602213368028	0.106795819360287	0.144745874294737	0.204521676778062	0.123747110397945	0.168456070241143	0.162580988495308	0.183494805430859	0.120338613578147	0.0546040316077649	0.0931936871915598	0.161876428405015	0.16278710979832	0.133316135737749	0.129810199756527	0.125516005943789	0.132837684470759	0.191353023955668	0.194525418192016	0.117868280992056	0.15588704302751	0.0880038026257356	0.057027518443172	0.155642195903932	0.168439830380906
S14L	0.145764613219621	0.139962610844854	0.168177494177073	0.149030698957339	0.15634363294418	0.117624683088497	0.073474124593457	0.201281824660727	0.12810813748166	0.0775116036924445	0.111884517104633	0.102177452952813	0.113966966875057	0.201548533134624	0.0889269762192231	0.132561606846725	0.109337357487419	0.199176888929974	0.084991308551723	0	0.101622799264709	0.238749680668133	0.127487275132589	0.142657178424221	0.193133787091685	0.198634102832044	0.13789390249463	0.203770270937084	0.168870811287203	0.209361155128766	0.081941337877163	0.0856065494107117	0.193436722946111	0.211321805947412	0.138985096180572	0.123184961389732	0.211976397236975	0.114883269758445	0.186200615990391	0.105301127608449	0.234268728462666	0.124311757846195	0.0826196643470733	0.0855440884097991	0.237501085259891	0.128590336408705	0.14544418828494	0.103713368965252	0.126229935184219	0.174117535363857	0.162376741022324	0.177401734791839	0.168266188798369	0.220317439298838	0.0618882335341871	0.106799567020342	0.225789022978778	0.177855826268474
