td_A_700038857	td_A_700023382	td_A_700099065	td_A_700113553	td_A_700095837	td_A_700102525	td_A_700038905	td_A_700107822	td_A_700032228	td_A_700103608	td_B_700033928	td_B_700113016	td_B_700035243	td_B_700100477	td_B_700038113	td_B_700024958	td_B_700097487	td_B_700016462	td_B_700109512	td_B_700099008
OTU_97.10651	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
OTU_97.10664	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.107	0	0	0	1	15	2	0	0	0	0	7	0	0	0	0	0	0	0	19	0
OTU_97.10707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.10715	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1072	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10730	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10732	2	0	0	0	0	5	0	0	0	2	0	1	0	0	0	1	2	1	1	0
OTU_97.10781	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10783	0	0	0	0	2	0	0	0	1	3	0	2	0	0	0	0	0	0	2	0
OTU_97.10787	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10796	8	1	0	0	0	0	13	0	0	0	0	1	0	0	0	6	0	0	0	1
OTU_97.1083	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.10838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.10842	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10843	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10850	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10874	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10879	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10884	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.1089	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU_97.10891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.10894	0	2	4	0	0	3	0	0	2	3	1	0	0	1	0	2	0	0	0	2
OTU_97.10899	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10921	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10923	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10925	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10928	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	3
OTU_97.10942	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10943	3	0	0	0	0	5	1	0	0	1	0	2	0	0	0	4	0	2	1	0
OTU_97.10946	0	0	0	2	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0
OTU_97.10964	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10966	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
OTU_97.10974	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0
OTU_97.10977	5	4	0	0	0	0	14	0	2	16	0	6	0	0	0	1	0	0	1	0
OTU_97.10978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.10982	2	0	1	1	3	1	0	0	0	12	2	2	4	1	0	0	0	0	0	2
OTU_97.11001	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1
OTU_97.1101	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	2	0	0	2	1
OTU_97.11015	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11018	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU_97.11038	0	0	0	0	1	6	0	0	1	4	1	1	1	0	1	0	0	1	6	0
OTU_97.11043	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU_97.11052	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_97.11070	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_97.11074	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11078	0	0	0	2	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11109	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0
OTU_97.11115	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.11121	0	65	0	0	0	0	0	0	0	12	1	0	1	0	0	5	0	7	4	0
OTU_97.11128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1113	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0
OTU_97.1114	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11140	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU_97.11156	8	0	0	1	8	11	3	0	3	3	0	1	17	0	5	1	11	0	1	3
OTU_97.11165	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.11199	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11207	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11218	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.1123	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.1124	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11249	3	1	0	7	1	2	6	0	0	0	6	3	1	0	2	3	0	4	9	1
OTU_97.1126	0	0	0	0	9	1	0	0	0	0	7	0	0	0	0	0	0	0	5	2
OTU_97.11267	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.11286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.11292	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.113	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
OTU_97.11305	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.11318	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11328	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	1	0	0	0
OTU_97.1133	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11336	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.11365	0	2	0	1	3	4	3	0	1	26	7	0	1	0	1	2	4	14	2	2
OTU_97.1137	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
OTU_97.11392	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	3	0	0	0	0
OTU_97.11393	0	0	0	0	2	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU_97.11399	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.1140	0	1	0	0	0	0	0	0	0	7	0	2	0	1	0	0	0	0	0	1
OTU_97.11404	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0
OTU_97.1141	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
OTU_97.11411	0	4	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0
OTU_97.1142	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11425	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
OTU_97.11426	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11428	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.11442	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	1	0	0	0
OTU_97.11450	1	0	1	0	0	0	0	0	0	33	0	2	0	0	0	0	0	0	0	0
OTU_97.11451	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_97.11453	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.11468	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
OTU_97.1148	0	0	0	2	1	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_97.11486	3	0	0	0	1	2	1	0	0	2	1	8	0	0	0	2	1	0	0	0
OTU_97.1149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11490	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_97.11492	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU_97.11494	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.115	0	5	7	0	7	0	0	0	0	4	0	4	0	0	0	9	0	0	0	1
OTU_97.11501	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.11508	2	2	0	0	0	1	1	0	0	2	0	2	0	2	0	0	0	2	2	0
OTU_97.11510	2	6	0	4	1	8	3	0	2	30	3	1	0	0	0	7	0	46	9	1
